Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[106.41831338881934],[992.0850844448335],[1319.252269925507],[1679.6974298408281],[1749.0067807735184],[1351.9369372078204],[658.9293807001304],[62.83967379494902],[988.6589328269638],[1318.9829059660528],[1679.6762524526837],[1749.0051158077615],[1351.9368063082518],[658.9293704088094]
101,[24.903602742453472],[628.791371132191],[532.1506895610316],[520.345258761064],[464.26017606536277],[349.70555480827517],[198.69569405674503],[61.446894305851856],[625.2864662571592],[532.4868486112285],[520.3130173990132],[464.2632683677306],[349.70525822235805],[198.69572250260694]
102,[4.235165973322296],[290.9914588936935],[345.9050551076973],[347.223623978741],[323.41762889434517],[262.1290339853691],[160.44991654075753],[39.98740187433907],[302.22618029769734],[349.43543472857],[348.33300442702085],[323.76623870722455],[262.23858053617073],[160.48434026134476]
103,[18.285137285558108],[461.5323488870612],[528.212633220237],[532.0797116137535],[495.7633671497201],[392.73755776711516],[228.07429327170098],[48.8868136036524],[468.7133643611503],[529.8977364382139],[532.4751393726103],[495.8561585649916],[392.75933227979226],[228.07940289742385]
104,[8.298804945245394],[202.61382501287574],[229.30280324970644],[221.46065815070628],[202.2175788182093],[164.64312836662066],[104.62655051646853],[31.834444683384874],[209.30331775487986],[231.20414579417144],[222.00107333774923],[202.37118005920442],[164.68678617232436],[104.63895929641401]
105,[10.102542329512318],[147.5332029024251],[157.3779451142398],[162.58301645299477],[158.20073775350144],[128.77478368287467],[75.31517592736078],[16.607008567242104],[148.41084928508712],[157.49636577242256],[162.59899492970416],[158.20289372630103],[128.77507458787125],[75.31521517911621]
107,[19.08684037364597],[50.95354072763116],[83.34499078762964],[111.95792755308076],[117.28334916074314],[93.0838430031655],[54.34744921248055],[26.770787455889305],[52.768799701493506],[83.7738283507881],[112.05923632401849],[117.30728238849801],[93.08949699921602],[54.348784914946876]
108,[11.797719681195545],[21.891502012997755],[40.684927173168354],[61.97708756788158],[70.35555211278935],[58.10457373807245],[32.48192723347188],[10.659379400943184],[21.576616106345007],[40.59782392651302],[61.95299320412123],[70.34888716759721],[58.102730091365025],[32.48141724680525]
109,[14.390636847501888],[33.33191211440861],[46.52633593054966],[58.2280825820474],[59.17933150100434],[46.8761953585068],[28.67266694568731],[16.354586957954776],[33.51191087902082],[46.54283306817524],[58.22959456770143],[59.17947007659666],[46.87620805915296],[28.672668109719233]
110,[13.857797027054154],[18.950868091220244],[46.50122799358207],[79.81991327345155],[94.98394203687864],[80.31466766646841],[45.89450508313128],[16.3312298971069],[20.171595157281672],[47.103700204515036],[80.11725473088113],[95.13069061831021],[80.38709330915658],[45.930249712943876]
111,[16.174681882201412],[26.82503233876534],[49.98744381961436],[76.63880437685293],[89.03569272897815],[77.1840918682788],[47.88772118245332],[20.370513718675326],[28.88023580588517],[50.99412412899754],[77.13189679398477],[89.27721938800448],[77.30239652070021],[47.94566919879642]
112,[25.278575469443936],[77.85075948171095],[111.31679154047649],[139.47849866543453],[142.8518282259674],[113.98417205795064],[68.52026935285198],[34.39203056554477],[79.4726718228979],[111.60544163144144],[139.52986942876015],[142.8609706285069],[113.98579912203891],[68.52055891979413]
113,[11.419186267245106],[13.22008641190458],[22.80003151143947],[37.78575649866414],[49.49343343372463],[50.02750089617164],[38.646041438048],[22.634400523850772],[21.63272509627535],[29.110431653111945],[42.519247552071775],[53.044070009799455],[52.69086709949099],[40.64385771155281]
114,[26.575634311803405],[28.756289464979083],[50.015681654074726],[78.12005037909834],[92.88463582745723],[82.41718975964588],[52.72733749836338],[23.611228373477253],[26.898503812164773],[48.85141211622881],[77.39040562449357],[92.42736931775602],[82.13062200242601],[52.54774621464641]
115,[8.627276076222884],[15.169956512711654],[28.85238495383606],[44.43366902217413],[51.99687249484968],[45.95787027233396],[30.07978468674981],[15.06443455950673],[18.550911355232742],[30.628146056634865],[45.36634267239712],[52.486735763309184],[46.21515857647814],[30.21491886747244]
