Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[404.5663474124199],[1990.5306280232703],[3107.117007353134],[4172.185352588248],[4475.283268330919],[3592.410548402253],[1921.89070800345],[437.74719744058666],[1998.69934082587],[3109.12804289908],[4172.680444540284],[4475.405153814975],[3592.440555093257],[1921.8980952777592]
601,[47.749167726896644],[429.91755381544954],[515.2337693201675],[604.5582699463911],[619.7941236672787],[496.6032721290737],[270.1865235640145],[52.95049665567194],[430.49908177134023],[515.2987863125772],[604.5655390884145],[619.7949363844439],[496.60336299388115],[270.18653372303856]
605,[45.05125391266836],[443.4044866872764],[505.27818062707007],[516.917020831602],[489.2197057306158],[394.3730316136013],[240.2187805746779],[76.00530148862163],[450.158491246392],[506.7518676294766],[517.2385713076276],[489.2898662928406],[394.3883402660796],[240.2221208392549]
606,[53.02255856538358],[360.5527129997099],[516.064885697434],[618.8968046991288],[651.6646155405266],[569.900025903187],[374.6161779174355],[131.4968929266148],[400.61716845277755],[536.5194789579771],[629.3397367375878],[656.9961725248564],[572.6220104734659],[376.00586577458733]
622,[20.182153249397402],[161.1632253040999],[211.25030646557175],[230.39243341846304],[221.2276368092783],[177.1779576465489],[106.3708048255825],[32.70285532220521],[165.90535355060462],[213.04635433697155],[231.07267397474436],[221.48527315727236],[177.2755356095133],[106.40776179586413]
623,[27.61205754154321],[352.71914621141195],[426.12243368367274],[429.2934325980148],[383.5025558562748],[286.51364647261187],[157.53690904001036],[35.02302100603447],[354.81895691680364],[426.7173907387984],[429.4620067921242],[383.55031940269356],[286.52717972055973],[157.54074352915006]
624,[21.56032731058258],[315.1320757657454],[336.54929410017644],[336.4453131850537],[307.53810588144654],[235.43235898052853],[135.23575848237508],[42.89098548120495],[317.3733488888059],[336.78479106290365],[336.4700575229405],[307.54070583963863],[235.432632165555],[135.23578718670538]
625,[36.891979909397975],[179.89680688718332],[286.05945676884954],[385.32537068898193],[424.0904747803023],[358.62609423254156],[209.34260098286182],[53.99867833204675],[186.77529958038468],[288.8252541519251],[386.43747991194994],[424.537646699467],[358.8058991664093],[209.4148993827783]
626,[37.854556749333995],[61.182002725795435],[125.20461213130841],[215.79739367207793],[272.2605861569798],[246.5881451034033],[146.25610973430756],[31.843220162329743],[58.2389855089502],[123.7637761020346],[215.0919922726669],[271.9152372594083],[246.41906993406928],[146.17333427712109]
627,[23.10213185156249],[127.12879690783166],[194.6018448352886],[251.0069809606843],[266.9644977722881],[219.74576663735203],[125.22734735273698],[31.525332142066446],[130.30174285559306],[195.79706584870385],[251.45721027263244],[267.1340952200087],[219.80965251397097],[125.25141260422649]
628,[31.628932723798755],[88.19867192131404],[153.07322358699935],[215.49568593176048],[239.56052990329377],[203.6382549187848],[123.36593715775889],[43.49948221380663],[94.62226229461797],[156.5492642975609],[217.37669924663447],[240.5784153037676],[204.18907009925425],[123.66400348516113]
629,[14.175483318732375],[174.64835804938264],[234.4406529264411],[269.07040776916125],[264.4056471156313],[207.59317830546897],[117.66765356568496],[36.67449697806032],[180.51370812084986],[235.96971246575106],[269.46902388691495],[264.50956380772084],[207.6202687275916],[117.67471586680352]
630,[42.779049040228415],[93.35132488435782],[163.80761626223227],[251.81809681608473],[303.5575660802216],[272.9908649568921],[166.1036066854945],[41.27361135682878],[92.58348688861753],[163.41598584524218],[251.61834845202523],[303.4556858196149],[272.9389016401953],[166.07710315805897]
631,[28.21242782249999],[219.9154627347927],[285.767301370976],[309.5800177806388],[292.6654106812169],[227.32344711744202],[128.5281679968095],[31.650355752782787],[221.11047159549702],[286.1826812760005],[309.7244020368329],[292.7155980234175],[227.3408920202559],[128.53423176948286]
632,[20.61307239025365],[304.36093697739693],[384.47539664357373],[398.7455918728715],[361.4258565925823],[272.66101533913013],[155.1349165604158],[48.233460027996614],[312.8102250385116],[387.0600985556548],[399.53627197822397],[361.6677316908589],[272.73500678367293],[155.15755110983628]
633,[25.445022989901588],[311.2718303851654],[347.8716400244966],[359.13677629404344],[325.9930501668071],[239.75140953906475],[129.67809086342322],[42.80659289264338],[312.799368067707],[348.006038663828],[359.1486012031508],[325.99409056778205],[239.7515010775433],[129.6780989173306]
634,[7.801254005126651],[74.03934449516903],[126.05426097749007],[164.99978144996408],[186.1823479710177],[184.1358803500127],[158.12705818784204],[113.96033330145282],[169.7747998601711],[212.38957468495818],[242.85794136102882],[256.3957149517248],[247.45508681981315],[215.2290329310114]
635,[25.587696766096343],[201.1573307776818],[239.1947931959231],[261.90703959718417],[241.27931755031767],[171.0992451976815],[81.74282993235963],[17.977665580476952],[200.64767218672708],[239.16066036873775],[261.90475365535497],[241.27916445634693],[171.09923494468052],[81.74282924569619]
636,[22.450789001922224],[47.95130909813453],[84.40740118603193],[133.40486748105425],[172.55869152909278],[175.87867659250324],[136.00212549916645],[71.75668733767512],[85.34638416384642],[112.76894993315656],[154.91511838767892],[188.872712254525],[188.2517201885621],[145.3862136039042]
642,[31.686077892604374],[478.7049161273375],[368.90209791252585],[360.55899345771434],[304.5944513612557],[227.55070508336348],[145.11958085396913],[82.15937363578138],[469.0541683723108],[370.74736937458886],[360.2061682823873],[304.6619133075893],[227.5378060202541],[145.12204721964844]
651,[80.63732605941323],[764.8574395750887],[836.705240583667],[889.7151618167225],[857.7344542265865],[674.819264714315],[382.64385785098887],[104.58603604219502],[767.124495937768],[836.9198469050622],[889.7354770916053],[857.7363773311386],[674.8194467611314],[382.6438750840838]
652,[51.67587961289718],[316.00912789189994],[394.72441468272893],[456.46531197519903],[478.3217097199202],[410.04788369317896],[253.16091526607784],[71.38315046429989],[321.54215596132116],[396.27787177213736],[456.90146174678074],[478.4441634552359],[410.08226389527886],[253.17056787727324]
653,[67.99779090147058],[591.9061681422121],[617.8703776598211],[627.9495933530495],[601.5547471123687],[486.52481155882106],[290.66980222870484],[81.88564538028595],[593.499426432769],[618.0531612556819],[627.9705628613294],[601.5571528002283],[486.52508754688915],[290.6698338909229]
