Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[6.735484599663568],[13.219198190584251],[12.955629579201402],[11.894231810192082],[11.719752879101614],[11.550555617460107],[9.760222571709004],[5.6540225841276],[12.797210759102422],[12.790969711568067],[11.829981384737897],[11.694682306469817],[11.540773057926172],[9.756405408358152]
1,[266.08040867900945],[639.5549714345539],[662.6278103187933],[722.4977654894502],[767.7447135214929],[691.2536817750405],[466.7519220193326],[177.66383267767742],[625.201608467187],[660.2977152417133],[722.1195027031906],[767.6833071278755],[691.2437131888775],[466.7503037397979]
2,[127.52801915869134],[275.27462737916784],[366.4718221428878],[438.48580617514386],[467.96235080296367],[421.22800229932267],[298.13588872294935],[142.59361174426897],[283.7630600475502],[371.25447431912136],[441.18050409317436],[469.4806290723979],[422.0834484285574],[298.6178742026568]
3,[944.3420996808234],[2270.437401408332],[2796.6829053997326],[3016.229328603801],[3050.159269939012],[2799.648318612356],[2165.525078539454],[1209.5222059259054],[2428.6082333422078],[2891.0263779509223],[3072.5019719489287],[3083.723970319632],[2819.6685103906466],[2177.466435807489]
4,[838.4848831026052],[2507.9836627258674],[2975.011908324871],[3138.163461108961],[3072.89411030932],[2629.6542107759574],[1793.681668000321],[789.4034815576745],[2489.460339603959],[2968.021205356364],[3135.5251694983112],[3071.89841893834],[2629.2784368083485],[1793.5398508882636]
5,[1140.0991384842785],[2144.757664667957],[2109.1586592789063],[2137.4041572231054],[2365.974924039874],[2448.4764774848577],[2028.6205168560516],[1085.1158318066562],[2124.9044773223627],[2101.9901372020104],[2134.8157713950563],[2365.0403183955063],[2448.1390132239203],[2028.4986663963455]
6,[733.3789492488122],[2063.1984003306115],[2621.06750548655],[2957.190287851887],[3050.888977001384],[2715.665908545344],[1923.5324772211025],[912.9071787785317],[2147.9599699936675],[2661.0864134352623],[2976.084616965586],[3059.809652026157],[2719.877671896069],[1925.520998322168]
7,[983.6435933057376],[2570.44106383643],[3136.879731788671],[3478.347425089817],[3562.035488464002],[3123.049479749212],[2107.997286770916],[819.4868708839838],[2500.3095956303832],[3106.9179808461827],[3465.547086775179],[3556.5668941457425],[3120.713172451498],[2106.9991634010535]
8,[366.4016625889626],[1934.8731444845296],[2275.527843356401],[2432.1472150878512],[2375.429959176481],[1934.725066221985],[1153.2621503606563],[312.1082274291705],[1921.3409981414568],[2272.155078599273],[2431.306584058706],[2375.2204395158915],[1934.6728453466521],[1153.2491347810546]
9,[1204.3658505097487],[2678.6128628379442],[3070.92016980969],[3257.1853097100006],[3321.6396778682188],[3032.584211090846],[2249.0021578162546],[1126.6956144674025],[2645.171691586522],[3056.521965405402],[3250.986116251463],[3318.9705950814146],[3031.43502886731],[2248.507373694376]
