Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[0.0],[1384.0],[1450.0],[1317.0],[1147.0],[976.0],[0.0],[0.0],[1675.0],[1488.0],[1318.0],[1201.0],[1155.0],[0.0]
601,[0.0],[532.0],[723.0],[675.0],[600.0],[531.0],[0.0],[0.0],[683.0],[731.0],[664.0],[631.0],[620.0],[0.0]
602,[0.0],[621.0],[635.0],[556.0],[520.0],[443.0],[0.0],[0.0],[616.0],[598.0],[550.0],[532.0],[540.0],[0.0]
603,[0.0],[211.0],[276.0],[259.0],[250.0],[196.0],[0.0],[0.0],[260.0],[294.0],[271.0],[252.0],[243.0],[0.0]
604,[0.0],[393.0],[431.0],[368.0],[342.0],[261.0],[0.0],[0.0],[420.0],[409.0],[358.0],[330.0],[316.0],[0.0]
605,[0.0],[544.0],[614.0],[535.0],[493.0],[400.0],[0.0],[0.0],[695.0],[627.0],[550.0],[516.0],[510.0],[0.0]
606,[0.0],[588.0],[723.0],[652.0],[585.0],[498.0],[0.0],[0.0],[773.0],[744.0],[667.0],[637.0],[633.0],[0.0]
607,[0.0],[509.0],[575.0],[507.0],[469.0],[378.0],[0.0],[0.0],[628.0],[599.0],[543.0],[515.0],[511.0],[0.0]
621,[0.0],[493.0],[605.0],[549.0],[509.0],[421.0],[0.0],[0.0],[603.0],[627.0],[558.0],[530.0],[522.0],[0.0]
622,[0.0],[406.0],[464.0],[437.0],[427.0],[349.0],[0.0],[0.0],[446.0],[488.0],[449.0],[428.0],[426.0],[0.0]
623,[0.0],[330.0],[478.0],[453.0],[429.0],[353.0],[0.0],[0.0],[410.0],[492.0],[454.0],[432.0],[421.0],[0.0]
624,[0.0],[538.0],[614.0],[497.0],[461.0],[378.0],[0.0],[0.0],[672.0],[573.0],[501.0],[471.0],[468.0],[0.0]
631,[0.0],[655.0],[719.0],[628.0],[576.0],[495.0],[0.0],[0.0],[757.0],[715.0],[652.0],[628.0],[634.0],[0.0]
632,[0.0],[238.0],[313.0],[302.0],[297.0],[230.0],[0.0],[0.0],[295.0],[327.0],[303.0],[286.0],[283.0],[0.0]
633,[0.0],[305.0],[416.0],[372.0],[356.0],[279.0],[0.0],[0.0],[396.0],[399.0],[353.0],[329.0],[319.0],[0.0]
634,[0.0],[165.0],[214.0],[211.0],[207.0],[156.0],[0.0],[0.0],[206.0],[239.0],[224.0],[207.0],[198.0],[0.0]
