Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[130.0],[1529.0],[1679.0],[1643.0],[1483.0],[1198.0],[39.0],[205.0],[1659.0],[1668.0],[1589.0],[1442.0],[1240.0],[413.0]
101,[24.0],[664.0],[647.0],[567.0],[440.0],[315.0],[2.0],[32.0],[667.0],[627.0],[540.0],[434.0],[328.0],[45.0]
102,[18.0],[360.0],[355.0],[314.0],[252.0],[187.0],[1.0],[24.0],[393.0],[365.0],[298.0],[259.0],[220.0],[35.0]
103,[24.0],[574.0],[586.0],[514.0],[399.0],[290.0],[1.0],[32.0],[591.0],[571.0],[480.0],[384.0],[301.0],[34.0]
104,[13.0],[256.0],[237.0],[210.0],[172.0],[123.0],[2.0],[18.0],[261.0],[237.0],[194.0],[168.0],[147.0],[20.0]
105,[8.0],[200.0],[180.0],[162.0],[134.0],[91.0],[3.0],[13.0],[203.0],[187.0],[154.0],[136.0],[116.0],[14.0]
107,[15.0],[119.0],[118.0],[123.0],[111.0],[63.0],[4.0],[33.0],[114.0],[143.0],[137.0],[134.0],[123.0],[5.0]
108,[6.0],[68.0],[66.0],[69.0],[57.0],[41.0],[5.0],[16.0],[57.0],[77.0],[77.0],[70.0],[64.0],[6.0]
109,[8.0],[64.0],[65.0],[64.0],[51.0],[29.0],[5.0],[19.0],[54.0],[74.0],[73.0],[67.0],[62.0],[6.0]
110,[13.0],[87.0],[93.0],[96.0],[81.0],[52.0],[5.0],[23.0],[81.0],[104.0],[100.0],[98.0],[90.0],[6.0]
111,[9.0],[84.0],[80.0],[85.0],[74.0],[44.0],[5.0],[24.0],[77.0],[98.0],[93.0],[88.0],[80.0],[5.0]
112,[21.0],[155.0],[144.0],[151.0],[139.0],[78.0],[4.0],[39.0],[138.0],[165.0],[157.0],[155.0],[148.0],[8.0]
113,[7.0],[60.0],[62.0],[61.0],[48.0],[33.0],[5.0],[14.0],[45.0],[65.0],[64.0],[59.0],[55.0],[6.0]
114,[10.0],[88.0],[80.0],[82.0],[70.0],[44.0],[5.0],[22.0],[74.0],[94.0],[92.0],[88.0],[81.0],[6.0]
115,[6.0],[66.0],[60.0],[58.0],[46.0],[32.0],[5.0],[13.0],[47.0],[66.0],[64.0],[58.0],[53.0],[6.0]
116,[5.0],[64.0],[62.0],[61.0],[50.0],[31.0],[5.0],[16.0],[51.0],[70.0],[68.0],[61.0],[57.0],[5.0]
117,[9.0],[86.0],[82.0],[87.0],[78.0],[48.0],[4.0],[23.0],[81.0],[109.0],[105.0],[101.0],[93.0],[5.0]
118,[15.0],[102.0],[102.0],[106.0],[93.0],[52.0],[5.0],[30.0],[90.0],[113.0],[110.0],[109.0],[98.0],[5.0]
119,[9.0],[53.0],[57.0],[57.0],[45.0],[26.0],[6.0],[15.0],[39.0],[61.0],[59.0],[55.0],[51.0],[5.0]
120,[8.0],[46.0],[50.0],[47.0],[37.0],[22.0],[6.0],[15.0],[33.0],[51.0],[50.0],[47.0],[45.0],[6.0]
121,[41.0],[314.0],[361.0],[370.0],[313.0],[219.0],[7.0],[63.0],[302.0],[379.0],[374.0],[350.0],[321.0],[25.0]
122,[43.0],[319.0],[364.0],[370.0],[314.0],[221.0],[8.0],[61.0],[313.0],[373.0],[363.0],[340.0],[315.0],[25.0]
123,[89.0],[814.0],[900.0],[890.0],[763.0],[568.0],[6.0],[190.0],[772.0],[886.0],[904.0],[852.0],[700.0],[29.0]
124,[32.0],[223.0],[255.0],[258.0],[225.0],[145.0],[3.0],[42.0],[215.0],[256.0],[250.0],[240.0],[232.0],[17.0]
125,[60.0],[489.0],[561.0],[569.0],[480.0],[342.0],[11.0],[110.0],[469.0],[570.0],[567.0],[518.0],[437.0],[28.0]
126,[95.0],[752.0],[877.0],[885.0],[771.0],[564.0],[5.0],[199.0],[743.0],[873.0],[909.0],[866.0],[716.0],[27.0]
127,[75.0],[656.0],[744.0],[744.0],[639.0],[458.0],[7.0],[146.0],[619.0],[720.0],[730.0],[692.0],[567.0],[25.0]
128,[85.0],[760.0],[847.0],[852.0],[740.0],[546.0],[5.0],[184.0],[690.0],[811.0],[848.0],[816.0],[679.0],[25.0]
129,[77.0],[590.0],[698.0],[729.0],[648.0],[485.0],[9.0],[167.0],[578.0],[718.0],[754.0],[731.0],[610.0],[29.0]
130,[69.0],[478.0],[585.0],[608.0],[524.0],[379.0],[11.0],[115.0],[492.0],[603.0],[607.0],[560.0],[467.0],[29.0]
131,[80.0],[616.0],[723.0],[747.0],[660.0],[477.0],[8.0],[168.0],[635.0],[766.0],[786.0],[748.0],[615.0],[25.0]
132,[54.0],[377.0],[414.0],[432.0],[366.0],[255.0],[7.0],[84.0],[361.0],[443.0],[448.0],[415.0],[370.0],[26.0]
201,[11.0],[97.0],[100.0],[100.0],[84.0],[53.0],[5.0],[23.0],[91.0],[113.0],[111.0],[108.0],[99.0],[5.0]
202,[15.0],[93.0],[98.0],[101.0],[87.0],[51.0],[5.0],[26.0],[84.0],[105.0],[100.0],[97.0],[90.0],[6.0]
203,[17.0],[91.0],[94.0],[97.0],[83.0],[41.0],[5.0],[31.0],[82.0],[103.0],[99.0],[97.0],[88.0],[5.0]
204,[12.0],[54.0],[59.0],[59.0],[49.0],[29.0],[6.0],[16.0],[43.0],[65.0],[64.0],[60.0],[56.0],[6.0]
205,[11.0],[73.0],[74.0],[77.0],[64.0],[38.0],[6.0],[22.0],[57.0],[80.0],[81.0],[76.0],[71.0],[6.0]
206,[9.0],[76.0],[72.0],[76.0],[64.0],[37.0],[5.0],[22.0],[67.0],[88.0],[86.0],[80.0],[73.0],[5.0]
