Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[34.0],[857.0],[940.0],[848.0],[770.0],[620.0],[2.0],[59.0],[974.0],[982.0],[884.0],[791.0],[720.0],[5.0]
631,[94.0],[52.0],[70.0],[58.0],[55.0],[54.0],[8.0],[98.0],[61.0],[73.0],[59.0],[62.0],[61.0],[4.0]
632,[58.0],[289.0],[273.0],[203.0],[202.0],[164.0],[1.0],[69.0],[308.0],[261.0],[205.0],[198.0],[200.0],[1.0]
633,[25.0],[149.0],[160.0],[121.0],[115.0],[93.0],[0.0],[32.0],[195.0],[163.0],[124.0],[120.0],[120.0],[0.0]
634,[30.0],[704.0],[640.0],[512.0],[442.0],[368.0],[1.0],[27.0],[748.0],[630.0],[502.0],[443.0],[435.0],[1.0]
635,[17.0],[374.0],[371.0],[277.0],[265.0],[215.0],[0.0],[20.0],[437.0],[360.0],[282.0],[260.0],[257.0],[1.0]
636,[32.0],[369.0],[393.0],[318.0],[319.0],[276.0],[0.0],[31.0],[455.0],[384.0],[312.0],[305.0],[309.0],[1.0]
637,[11.0],[241.0],[229.0],[191.0],[198.0],[172.0],[0.0],[11.0],[271.0],[224.0],[183.0],[188.0],[190.0],[0.0]
638,[4.0],[61.0],[78.0],[61.0],[56.0],[48.0],[0.0],[7.0],[82.0],[80.0],[63.0],[65.0],[58.0],[0.0]
639,[18.0],[157.0],[156.0],[123.0],[119.0],[93.0],[0.0],[22.0],[200.0],[164.0],[126.0],[122.0],[124.0],[0.0]
640,[14.0],[206.0],[211.0],[162.0],[158.0],[125.0],[0.0],[19.0],[248.0],[206.0],[155.0],[150.0],[150.0],[0.0]
641,[74.0],[254.0],[265.0],[198.0],[191.0],[153.0],[4.0],[91.0],[301.0],[263.0],[205.0],[197.0],[195.0],[2.0]
642,[42.0],[232.0],[244.0],[192.0],[187.0],[153.0],[0.0],[47.0],[266.0],[235.0],[180.0],[174.0],[172.0],[1.0]
643,[14.0],[331.0],[331.0],[249.0],[241.0],[194.0],[0.0],[13.0],[383.0],[325.0],[256.0],[240.0],[237.0],[1.0]
644,[84.0],[190.0],[194.0],[160.0],[154.0],[124.0],[5.0],[92.0],[238.0],[205.0],[159.0],[159.0],[158.0],[2.0]
645,[24.0],[153.0],[172.0],[130.0],[123.0],[95.0],[0.0],[25.0],[204.0],[175.0],[133.0],[127.0],[126.0],[0.0]
646,[43.0],[33.0],[81.0],[73.0],[68.0],[64.0],[0.0],[50.0],[48.0],[93.0],[77.0],[79.0],[76.0],[0.0]
647,[40.0],[28.0],[58.0],[47.0],[44.0],[45.0],[0.0],[47.0],[36.0],[62.0],[51.0],[53.0],[50.0],[0.0]
648,[77.0],[70.0],[110.0],[99.0],[92.0],[79.0],[3.0],[88.0],[77.0],[123.0],[102.0],[103.0],[105.0],[1.0]
649,[75.0],[44.0],[64.0],[50.0],[47.0],[50.0],[2.0],[84.0],[42.0],[70.0],[57.0],[59.0],[57.0],[1.0]
671,[1.0],[2.0],[3.0],[3.0],[3.0],[4.0],[0.0],[2.0],[1.0],[5.0],[3.0],[3.0],[2.0],[0.0]
681,[47.0],[533.0],[603.0],[520.0],[477.0],[397.0],[1.0],[68.0],[637.0],[628.0],[520.0],[489.0],[478.0],[1.0]
701,[25.0],[89.0],[177.0],[154.0],[153.0],[121.0],[0.0],[20.0],[150.0],[190.0],[156.0],[155.0],[158.0],[0.0]
702,[12.0],[217.0],[345.0],[310.0],[324.0],[278.0],[0.0],[14.0],[305.0],[363.0],[316.0],[322.0],[331.0],[1.0]
703,[18.0],[172.0],[296.0],[240.0],[227.0],[176.0],[0.0],[16.0],[235.0],[308.0],[244.0],[217.0],[219.0],[1.0]
704,[9.0],[83.0],[148.0],[133.0],[136.0],[110.0],[0.0],[10.0],[146.0],[159.0],[132.0],[143.0],[148.0],[0.0]
705,[2.0],[47.0],[83.0],[71.0],[67.0],[58.0],[0.0],[2.0],[62.0],[85.0],[72.0],[76.0],[72.0],[0.0]
706,[9.0],[79.0],[131.0],[120.0],[121.0],[100.0],[0.0],[9.0],[113.0],[138.0],[116.0],[123.0],[129.0],[0.0]
707,[16.0],[129.0],[251.0],[232.0],[240.0],[201.0],[0.0],[14.0],[240.0],[265.0],[226.0],[230.0],[237.0],[1.0]
709,[1.0],[34.0],[54.0],[44.0],[43.0],[40.0],[0.0],[1.0],[42.0],[54.0],[47.0],[53.0],[48.0],[0.0]
710,[7.0],[38.0],[65.0],[54.0],[52.0],[46.0],[0.0],[5.0],[56.0],[69.0],[58.0],[61.0],[56.0],[0.0]
711,[14.0],[187.0],[285.0],[259.0],[272.0],[219.0],[0.0],[19.0],[258.0],[299.0],[264.0],[274.0],[282.0],[1.0]
751,[10.0],[526.0],[577.0],[492.0],[460.0],[403.0],[1.0],[15.0],[622.0],[566.0],[473.0],[470.0],[476.0],[2.0]
752,[7.0],[279.0],[301.0],[235.0],[228.0],[182.0],[0.0],[7.0],[333.0],[300.0],[239.0],[227.0],[223.0],[1.0]
753,[4.0],[360.0],[371.0],[273.0],[248.0],[201.0],[0.0],[6.0],[407.0],[353.0],[268.0],[239.0],[233.0],[1.0]
754,[10.0],[270.0],[294.0],[232.0],[229.0],[183.0],[0.0],[12.0],[333.0],[291.0],[236.0],[227.0],[228.0],[1.0]
755,[5.0],[341.0],[365.0],[281.0],[270.0],[220.0],[0.0],[7.0],[424.0],[361.0],[286.0],[267.0],[264.0],[1.0]
756,[17.0],[566.0],[648.0],[584.0],[544.0],[466.0],[1.0],[25.0],[688.0],[687.0],[589.0],[556.0],[556.0],[3.0]
757,[4.0],[508.0],[544.0],[443.0],[392.0],[340.0],[0.0],[8.0],[571.0],[524.0],[424.0],[393.0],[397.0],[2.0]
759,[8.0],[555.0],[570.0],[482.0],[442.0],[388.0],[1.0],[9.0],[595.0],[560.0],[464.0],[447.0],[449.0],[2.0]
760,[11.0],[854.0],[932.0],[796.0],[734.0],[631.0],[4.0],[15.0],[1068.0],[911.0],[800.0],[722.0],[694.0],[7.0]
801,[8.0],[170.0],[237.0],[197.0],[197.0],[156.0],[0.0],[12.0],[226.0],[254.0],[207.0],[202.0],[204.0],[0.0]
