Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[6.0],[1144.0],[1249.0],[1195.0],[1046.0],[799.0],[-0.0],[3.0],[1248.0],[1334.0],[1214.0],[1068.0],[928.0],[163.0]
1,[5.0],[520.0],[638.0],[641.0],[560.0],[457.0],[0.0],[3.0],[598.0],[678.0],[672.0],[607.0],[522.0],[60.0]
3,[6.0],[690.0],[827.0],[840.0],[758.0],[617.0],[0.0],[3.0],[783.0],[897.0],[868.0],[805.0],[706.0],[105.0]
4,[5.0],[522.0],[628.0],[619.0],[532.0],[431.0],[0.0],[3.0],[576.0],[641.0],[631.0],[562.0],[481.0],[29.0]
5,[6.0],[336.0],[436.0],[433.0],[374.0],[293.0],[0.0],[3.0],[380.0],[438.0],[450.0],[396.0],[338.0],[0.0]
6,[5.0],[443.0],[543.0],[541.0],[475.0],[394.0],[0.0],[3.0],[484.0],[573.0],[586.0],[527.0],[458.0],[3.0]
7,[5.0],[481.0],[620.0],[644.0],[583.0],[486.0],[0.0],[3.0],[575.0],[688.0],[686.0],[623.0],[539.0],[27.0]
8,[6.0],[1190.0],[1291.0],[1240.0],[1097.0],[853.0],[0.0],[3.0],[1291.0],[1376.0],[1260.0],[1111.0],[973.0],[221.0]
9,[5.0],[721.0],[837.0],[825.0],[719.0],[568.0],[0.0],[3.0],[810.0],[871.0],[815.0],[733.0],[626.0],[79.0]
10,[5.0],[684.0],[818.0],[827.0],[742.0],[599.0],[0.0],[3.0],[785.0],[889.0],[851.0],[781.0],[679.0],[109.0]
11,[6.0],[790.0],[957.0],[981.0],[901.0],[734.0],[-1.0],[3.0],[897.0],[1029.0],[988.0],[921.0],[823.0],[186.0]
12,[5.0],[717.0],[788.0],[736.0],[610.0],[474.0],[0.0],[3.0],[777.0],[779.0],[714.0],[616.0],[514.0],[25.0]
13,[5.0],[456.0],[571.0],[576.0],[505.0],[419.0],[0.0],[3.0],[501.0],[570.0],[576.0],[519.0],[454.0],[4.0]
14,[6.0],[709.0],[799.0],[771.0],[662.0],[522.0],[0.0],[3.0],[776.0],[823.0],[769.0],[681.0],[574.0],[43.0]
15,[6.0],[722.0],[865.0],[877.0],[793.0],[642.0],[0.0],[3.0],[813.0],[928.0],[892.0],[831.0],[734.0],[116.0]
16,[5.0],[949.0],[1018.0],[951.0],[799.0],[604.0],[0.0],[3.0],[1018.0],[1037.0],[918.0],[808.0],[681.0],[96.0]
17,[6.0],[605.0],[732.0],[739.0],[661.0],[538.0],[0.0],[3.0],[683.0],[787.0],[772.0],[709.0],[614.0],[68.0]
18,[6.0],[697.0],[784.0],[748.0],[629.0],[488.0],[0.0],[3.0],[775.0],[790.0],[730.0],[636.0],[531.0],[26.0]
19,[6.0],[890.0],[1030.0],[1027.0],[926.0],[745.0],[-1.0],[3.0],[997.0],[1111.0],[1054.0],[968.0],[859.0],[191.0]
20,[6.0],[1261.0],[1371.0],[1306.0],[1136.0],[873.0],[0.0],[3.0],[1438.0],[1491.0],[1335.0],[1152.0],[995.0],[251.0]
21,[6.0],[797.0],[929.0],[928.0],[829.0],[662.0],[-0.0],[3.0],[910.0],[1016.0],[957.0],[878.0],[768.0],[148.0]
22,[6.0],[972.0],[1072.0],[1033.0],[903.0],[712.0],[-0.0],[3.0],[1058.0],[1132.0],[1035.0],[931.0],[808.0],[168.0]
23,[5.0],[213.0],[280.0],[280.0],[235.0],[170.0],[0.0],[3.0],[228.0],[279.0],[292.0],[255.0],[210.0],[1.0]
24,[6.0],[767.0],[858.0],[828.0],[712.0],[557.0],[0.0],[3.0],[826.0],[879.0],[819.0],[735.0],[627.0],[61.0]
25,[5.0],[286.0],[366.0],[364.0],[318.0],[249.0],[0.0],[3.0],[308.0],[362.0],[373.0],[331.0],[284.0],[0.0]
26,[7.0],[1287.0],[1429.0],[1406.0],[1286.0],[1009.0],[13.0],[3.0],[1420.0],[1556.0],[1489.0],[1306.0],[1151.0],[333.0]
27,[6.0],[195.0],[258.0],[265.0],[225.0],[161.0],[0.0],[3.0],[223.0],[270.0],[273.0],[234.0],[195.0],[1.0]
28,[5.0],[266.0],[360.0],[369.0],[327.0],[259.0],[0.0],[3.0],[296.0],[358.0],[372.0],[334.0],[291.0],[0.0]
29,[6.0],[228.0],[277.0],[257.0],[195.0],[121.0],[1.0],[4.0],[234.0],[266.0],[256.0],[204.0],[153.0],[1.0]
30,[5.0],[651.0],[744.0],[720.0],[617.0],[490.0],[0.0],[3.0],[711.0],[764.0],[726.0],[644.0],[547.0],[14.0]
31,[6.0],[135.0],[199.0],[202.0],[151.0],[88.0],[1.0],[4.0],[148.0],[188.0],[186.0],[148.0],[112.0],[0.0]
32,[5.0],[557.0],[635.0],[605.0],[509.0],[407.0],[0.0],[3.0],[590.0],[634.0],[617.0],[540.0],[458.0],[2.0]
