Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[297.0],[3431.0],[3636.0],[3581.0],[3375.0],[3046.0],[321.0],[292.0],[3877.0],[3879.0],[3690.0],[3423.0],[3109.0],[328.0]
601,[2.0],[535.0],[587.0],[551.0],[504.0],[439.0],[-0.0],[2.0],[571.0],[592.0],[548.0],[496.0],[490.0],[-0.0]
605,[1.0],[495.0],[511.0],[456.0],[413.0],[365.0],[-0.0],[2.0],[539.0],[496.0],[442.0],[399.0],[388.0],[-0.0]
606,[2.0],[569.0],[610.0],[552.0],[496.0],[435.0],[-0.0],[2.0],[607.0],[584.0],[524.0],[468.0],[455.0],[-0.0]
622,[14.0],[198.0],[205.0],[176.0],[159.0],[130.0],[0.0],[13.0],[233.0],[213.0],[179.0],[160.0],[155.0],[-0.0]
623,[16.0],[397.0],[392.0],[317.0],[279.0],[252.0],[0.0],[15.0],[460.0],[372.0],[301.0],[268.0],[260.0],[-0.0]
624,[17.0],[319.0],[327.0],[289.0],[264.0],[224.0],[-0.0],[17.0],[370.0],[337.0],[294.0],[265.0],[249.0],[-0.0]
625,[20.0],[304.0],[368.0],[348.0],[320.0],[253.0],[-0.0],[18.0],[352.0],[382.0],[354.0],[328.0],[308.0],[-0.0]
626,[19.0],[163.0],[224.0],[223.0],[210.0],[156.0],[-0.0],[18.0],[193.0],[243.0],[237.0],[220.0],[196.0],[-0.0]
627,[21.0],[195.0],[234.0],[217.0],[204.0],[162.0],[-0.0],[19.0],[226.0],[241.0],[222.0],[206.0],[196.0],[-0.0]
628,[15.0],[149.0],[199.0],[194.0],[180.0],[139.0],[-0.0],[13.0],[184.0],[231.0],[215.0],[194.0],[181.0],[-0.0]
629,[21.0],[262.0],[257.0],[225.0],[205.0],[167.0],[0.0],[20.0],[286.0],[267.0],[234.0],[211.0],[200.0],[-0.0]
630,[17.0],[192.0],[235.0],[223.0],[210.0],[163.0],[-0.0],[14.0],[213.0],[250.0],[238.0],[224.0],[214.0],[-0.0]
631,[15.0],[258.0],[278.0],[239.0],[218.0],[180.0],[-0.0],[14.0],[304.0],[280.0],[237.0],[211.0],[202.0],[-0.0]
632,[24.0],[359.0],[380.0],[327.0],[285.0],[235.0],[-0.0],[22.0],[386.0],[366.0],[319.0],[286.0],[267.0],[-0.0]
633,[18.0],[330.0],[357.0],[311.0],[274.0],[234.0],[0.0],[14.0],[380.0],[356.0],[311.0],[278.0],[264.0],[-0.0]
634,[21.0],[359.0],[348.0],[287.0],[250.0],[203.0],[0.0],[18.0],[344.0],[299.0],[261.0],[236.0],[223.0],[-0.0]
635,[25.0],[226.0],[253.0],[211.0],[189.0],[154.0],[0.0],[21.0],[256.0],[237.0],[203.0],[185.0],[177.0],[-0.0]
636,[15.0],[144.0],[182.0],[167.0],[150.0],[114.0],[0.0],[13.0],[172.0],[182.0],[163.0],[150.0],[146.0],[-0.0]
642,[10.0],[362.0],[398.0],[341.0],[303.0],[267.0],[0.0],[8.0],[456.0],[398.0],[333.0],[296.0],[281.0],[-0.0]
651,[2.0],[909.0],[845.0],[783.0],[717.0],[660.0],[0.0],[3.0],[914.0],[852.0],[766.0],[707.0],[718.0],[1.0]
