Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[1.0],[15.0],[13.0],[9.0],[10.0],[7.0],[1.0],[1.0],[13.0],[11.0],[10.0],[8.0],[6.0],[1.0]
1,[0.0],[570.0],[764.0],[799.0],[738.0],[605.0],[320.0],[1.0],[653.0],[763.0],[769.0],[729.0],[656.0],[431.0]
2,[1.0],[273.0],[413.0],[448.0],[406.0],[324.0],[165.0],[0.0],[321.0],[421.0],[440.0],[402.0],[355.0],[229.0]
3,[3.0],[1608.0],[2494.0],[2763.0],[2557.0],[2229.0],[1358.0],[2.0],[2013.0],[2760.0],[2857.0],[2698.0],[2460.0],[1770.0]
4,[1.0],[1980.0],[2670.0],[2845.0],[2620.0],[2338.0],[889.0],[1.0],[2605.0],[2965.0],[3013.0],[2842.0],[2611.0],[1386.0]
5,[2.0],[1386.0],[2188.0],[2431.0],[2267.0],[2037.0],[1121.0],[1.0],[1886.0],[2418.0],[2525.0],[2411.0],[2258.0],[1545.0]
6,[1.0],[1950.0],[2643.0],[2800.0],[2557.0],[2257.0],[819.0],[1.0],[2538.0],[2966.0],[2979.0],[2772.0],[2529.0],[1291.0]
7,[1.0],[2932.0],[3325.0],[3217.0],[2734.0],[2354.0],[946.0],[1.0],[3026.0],[3419.0],[3346.0],[3021.0],[2679.0],[1411.0]
8,[1.0],[2128.0],[2266.0],[2168.0],[1908.0],[1646.0],[386.0],[1.0],[2368.0],[2414.0],[2295.0],[2081.0],[1899.0],[704.0]
9,[3.0],[1832.0],[2925.0],[3253.0],[2954.0],[2590.0],[1447.0],[3.0],[2435.0],[3165.0],[3316.0],[3149.0],[2865.0],[1975.0]
10,[1.0],[1315.0],[1555.0],[1543.0],[1388.0],[1223.0],[394.0],[1.0],[1518.0],[1664.0],[1638.0],[1515.0],[1392.0],[624.0]
11,[1.0],[3829.0],[3656.0],[3605.0],[3144.0],[2673.0],[878.0],[1.0],[3817.0],[3889.0],[3894.0],[3666.0],[3049.0],[1329.0]
12,[1.0],[975.0],[1151.0],[1150.0],[1077.0],[924.0],[185.0],[1.0],[1257.0],[1288.0],[1251.0],[1191.0],[1075.0],[368.0]
13,[1.0],[2200.0],[2312.0],[2228.0],[1983.0],[1737.0],[491.0],[1.0],[2644.0],[2544.0],[2393.0],[2178.0],[1979.0],[771.0]
14,[1.0],[1438.0],[1784.0],[1845.0],[1714.0],[1540.0],[417.0],[1.0],[1847.0],[1994.0],[1977.0],[1858.0],[1747.0],[714.0]
15,[1.0],[750.0],[1055.0],[1088.0],[985.0],[814.0],[474.0],[1.0],[929.0],[1128.0],[1117.0],[1044.0],[925.0],[639.0]
16,[1.0],[1247.0],[1504.0],[1498.0],[1353.0],[1199.0],[372.0],[1.0],[1486.0],[1651.0],[1639.0],[1526.0],[1410.0],[631.0]
17,[0.0],[582.0],[831.0],[868.0],[784.0],[646.0],[402.0],[1.0],[693.0],[859.0],[863.0],[808.0],[719.0],[525.0]
18,[1.0],[978.0],[1188.0],[1216.0],[1158.0],[1019.0],[279.0],[1.0],[1245.0],[1313.0],[1305.0],[1260.0],[1156.0],[474.0]
19,[3.0],[1780.0],[2546.0],[2681.0],[2398.0],[2041.0],[1275.0],[2.0],[2103.0],[2751.0],[2750.0],[2536.0],[2268.0],[1649.0]
20,[1.0],[1850.0],[2377.0],[2381.0],[2065.0],[1754.0],[941.0],[1.0],[1988.0],[2471.0],[2418.0],[2190.0],[1948.0],[1317.0]
21,[2.0],[1430.0],[2142.0],[2323.0],[2115.0],[1862.0],[1065.0],[1.0],[1795.0],[2385.0],[2421.0],[2243.0],[2050.0],[1404.0]
22,[1.0],[869.0],[1026.0],[1033.0],[957.0],[800.0],[179.0],[1.0],[1081.0],[1098.0],[1038.0],[962.0],[844.0],[303.0]
23,[1.0],[1609.0],[2115.0],[2151.0],[1871.0],[1615.0],[780.0],[1.0],[1866.0],[2295.0],[2227.0],[2000.0],[1799.0],[1100.0]
24,[20.0],[2324.0],[2983.0],[3029.0],[2645.0],[2229.0],[1404.0],[2.0],[2406.0],[2995.0],[2995.0],[2762.0],[2467.0],[1804.0]
25,[0.0],[364.0],[513.0],[520.0],[436.0],[331.0],[221.0],[0.0],[385.0],[495.0],[487.0],[431.0],[365.0],[283.0]
26,[0.0],[2685.0],[2430.0],[2181.0],[1850.0],[1593.0],[686.0],[1.0],[2744.0],[2401.0],[2169.0],[1966.0],[1782.0],[1025.0]
27,[1.0],[448.0],[758.0],[854.0],[811.0],[676.0],[383.0],[1.0],[551.0],[794.0],[855.0],[818.0],[736.0],[507.0]
28,[0.0],[758.0],[1221.0],[1341.0],[1265.0],[1071.0],[616.0],[1.0],[980.0],[1304.0],[1330.0],[1269.0],[1157.0],[801.0]
29,[0.0],[1007.0],[1410.0],[1469.0],[1323.0],[1117.0],[716.0],[1.0],[1149.0],[1471.0],[1475.0],[1373.0],[1251.0],[908.0]
30,[0.0],[457.0],[656.0],[704.0],[642.0],[530.0],[334.0],[1.0],[525.0],[672.0],[722.0],[693.0],[626.0],[467.0]
31,[1.0],[777.0],[1045.0],[1055.0],[943.0],[784.0],[518.0],[1.0],[883.0],[1043.0],[1045.0],[986.0],[882.0],[667.0]
32,[1.0],[827.0],[1220.0],[1290.0],[1185.0],[998.0],[635.0],[1.0],[1008.0],[1313.0],[1308.0],[1230.0],[1115.0],[809.0]
33,[1.0],[741.0],[1056.0],[1086.0],[978.0],[806.0],[510.0],[1.0],[863.0],[1083.0],[1082.0],[1013.0],[900.0],[667.0]
34,[1.0],[618.0],[997.0],[1088.0],[1010.0],[846.0],[497.0],[1.0],[827.0],[1071.0],[1104.0],[1044.0],[928.0],[659.0]
35,[1.0],[482.0],[763.0],[840.0],[791.0],[661.0],[385.0],[1.0],[588.0],[793.0],[838.0],[805.0],[731.0],[524.0]
36,[1.0],[624.0],[889.0],[926.0],[829.0],[685.0],[435.0],[1.0],[738.0],[930.0],[926.0],[866.0],[771.0],[568.0]
37,[1.0],[870.0],[1247.0],[1315.0],[1203.0],[1014.0],[624.0],[1.0],[1016.0],[1334.0],[1330.0],[1251.0],[1137.0],[806.0]
38,[1.0],[563.0],[838.0],[909.0],[846.0],[711.0],[461.0],[1.0],[681.0],[875.0],[904.0],[862.0],[779.0],[580.0]
39,[1.0],[617.0],[869.0],[938.0],[864.0],[724.0],[422.0],[1.0],[694.0],[924.0],[973.0],[945.0],[853.0],[613.0]
40,[0.0],[900.0],[1366.0],[1489.0],[1390.0],[1191.0],[614.0],[1.0],[1056.0],[1420.0],[1466.0],[1394.0],[1285.0],[844.0]
41,[1.0],[720.0],[1117.0],[1195.0],[1117.0],[937.0],[545.0],[1.0],[881.0],[1177.0],[1184.0],[1115.0],[1007.0],[710.0]
42,[0.0],[883.0],[1249.0],[1310.0],[1192.0],[1007.0],[631.0],[1.0],[1036.0],[1326.0],[1350.0],[1286.0],[1174.0],[853.0]
43,[0.0],[563.0],[800.0],[837.0],[762.0],[626.0],[394.0],[1.0],[610.0],[792.0],[809.0],[764.0],[686.0],[510.0]
44,[3.0],[3060.0],[3124.0],[3101.0],[2811.0],[2492.0],[1363.0],[2.0],[3213.0],[3233.0],[3231.0],[3083.0],[2832.0],[1848.0]
45,[1.0],[787.0],[909.0],[925.0],[853.0],[731.0],[496.0],[1.0],[1032.0],[976.0],[970.0],[957.0],[872.0],[677.0]
46,[1.0],[408.0],[564.0],[623.0],[585.0],[484.0],[156.0],[1.0],[530.0],[593.0],[625.0],[597.0],[542.0],[257.0]
47,[1.0],[1198.0],[1342.0],[1334.0],[1254.0],[1128.0],[368.0],[1.0],[1443.0],[1366.0],[1336.0],[1307.0],[1226.0],[584.0]
48,[1.0],[525.0],[597.0],[593.0],[522.0],[420.0],[97.0],[1.0],[676.0],[635.0],[634.0],[586.0],[512.0],[183.0]
49,[1.0],[1699.0],[1837.0],[1790.0],[1640.0],[1486.0],[464.0],[1.0],[1965.0],[1855.0],[1798.0],[1721.0],[1630.0],[713.0]
50,[1.0],[2691.0],[2612.0],[2516.0],[2265.0],[2045.0],[919.0],[1.0],[3015.0],[2714.0],[2603.0],[2469.0],[2314.0],[1359.0]
51,[1.0],[1193.0],[1195.0],[1131.0],[1065.0],[941.0],[280.0],[1.0],[1334.0],[1167.0],[1129.0],[1110.0],[1046.0],[473.0]
52,[1.0],[1464.0],[1598.0],[1560.0],[1453.0],[1263.0],[220.0],[1.0],[1717.0],[1648.0],[1589.0],[1505.0],[1388.0],[412.0]
53,[1.0],[1732.0],[1809.0],[1740.0],[1590.0],[1453.0],[536.0],[1.0],[2145.0],[1922.0],[1818.0],[1729.0],[1633.0],[822.0]
54,[1.0],[722.0],[956.0],[988.0],[903.0],[756.0],[466.0],[1.0],[831.0],[968.0],[982.0],[942.0],[850.0],[619.0]
55,[1.0],[1302.0],[1722.0],[1839.0],[1686.0],[1507.0],[975.0],[1.0],[1522.0],[1783.0],[1836.0],[1757.0],[1666.0],[1251.0]
56,[0.0],[575.0],[824.0],[871.0],[801.0],[665.0],[416.0],[1.0],[679.0],[858.0],[863.0],[808.0],[724.0],[526.0]
57,[1.0],[697.0],[957.0],[1002.0],[919.0],[766.0],[478.0],[1.0],[786.0],[973.0],[990.0],[945.0],[850.0],[623.0]
58,[1.0],[618.0],[855.0],[929.0],[880.0],[749.0],[244.0],[1.0],[761.0],[906.0],[956.0],[929.0],[835.0],[417.0]
59,[1.0],[1055.0],[1296.0],[1329.0],[1245.0],[1098.0],[346.0],[1.0],[1213.0],[1343.0],[1356.0],[1314.0],[1218.0],[568.0]
60,[1.0],[807.0],[1120.0],[1183.0],[1123.0],[966.0],[546.0],[1.0],[960.0],[1188.0],[1209.0],[1161.0],[1073.0],[720.0]
61,[0.0],[484.0],[694.0],[735.0],[677.0],[563.0],[355.0],[1.0],[579.0],[703.0],[738.0],[703.0],[634.0],[460.0]
62,[0.0],[607.0],[764.0],[763.0],[678.0],[540.0],[281.0],[1.0],[670.0],[755.0],[749.0],[692.0],[604.0],[378.0]
63,[1.0],[411.0],[560.0],[596.0],[540.0],[437.0],[133.0],[1.0],[493.0],[555.0],[590.0],[558.0],[500.0],[235.0]
64,[1.0],[1016.0],[1116.0],[1085.0],[1007.0],[865.0],[176.0],[1.0],[1185.0],[1153.0],[1124.0],[1073.0],[982.0],[350.0]
65,[1.0],[1696.0],[1746.0],[1651.0],[1481.0],[1321.0],[602.0],[1.0],[2101.0],[1814.0],[1699.0],[1593.0],[1484.0],[865.0]
66,[1.0],[1532.0],[1626.0],[1563.0],[1414.0],[1259.0],[460.0],[1.0],[1925.0],[1745.0],[1645.0],[1538.0],[1427.0],[728.0]
67,[1.0],[1211.0],[1237.0],[1174.0],[1092.0],[944.0],[380.0],[1.0],[1521.0],[1320.0],[1226.0],[1174.0],[1076.0],[591.0]
68,[1.0],[842.0],[873.0],[846.0],[787.0],[672.0],[241.0],[1.0],[1001.0],[869.0],[847.0],[820.0],[751.0],[393.0]
69,[1.0],[1223.0],[1357.0],[1338.0],[1249.0],[1125.0],[247.0],[1.0],[1416.0],[1351.0],[1335.0],[1302.0],[1220.0],[449.0]
70,[0.0],[1908.0],[2019.0],[1971.0],[1778.0],[1619.0],[772.0],[1.0],[2368.0],[2104.0],[2013.0],[1908.0],[1801.0],[1063.0]
71,[1.0],[2746.0],[2693.0],[2629.0],[2396.0],[2156.0],[1090.0],[1.0],[3323.0],[2938.0],[2825.0],[2673.0],[2470.0],[1501.0]
72,[1.0],[1311.0],[1501.0],[1512.0],[1428.0],[1304.0],[560.0],[1.0],[1654.0],[1560.0],[1533.0],[1482.0],[1401.0],[744.0]
73,[1.0],[886.0],[1130.0],[1174.0],[1118.0],[979.0],[544.0],[1.0],[1088.0],[1173.0],[1210.0],[1187.0],[1109.0],[712.0]
74,[1.0],[1215.0],[1366.0],[1355.0],[1265.0],[1138.0],[370.0],[1.0],[1519.0],[1449.0],[1418.0],[1367.0],[1273.0],[594.0]
75,[1.0],[1039.0],[1286.0],[1319.0],[1234.0],[1067.0],[534.0],[1.0],[1119.0],[1290.0],[1308.0],[1270.0],[1179.0],[723.0]
76,[1.0],[1303.0],[1444.0],[1425.0],[1322.0],[1199.0],[499.0],[1.0],[1624.0],[1501.0],[1477.0],[1418.0],[1324.0],[703.0]
77,[1.0],[1971.0],[1921.0],[1760.0],[1530.0],[1331.0],[714.0],[1.0],[2449.0],[1978.0],[1752.0],[1606.0],[1484.0],[934.0]
78,[1.0],[1556.0],[1630.0],[1579.0],[1443.0],[1303.0],[635.0],[1.0],[1903.0],[1711.0],[1627.0],[1548.0],[1460.0],[871.0]
79,[1.0],[983.0],[1138.0],[1152.0],[1105.0],[982.0],[223.0],[1.0],[1201.0],[1190.0],[1182.0],[1147.0],[1060.0],[393.0]
80,[1.0],[531.0],[623.0],[651.0],[608.0],[513.0],[113.0],[1.0],[654.0],[631.0],[644.0],[620.0],[567.0],[214.0]
81,[1.0],[768.0],[925.0],[953.0],[891.0],[765.0],[139.0],[1.0],[958.0],[919.0],[921.0],[891.0],[809.0],[282.0]
82,[1.0],[708.0],[864.0],[917.0],[859.0],[739.0],[123.0],[1.0],[895.0],[895.0],[899.0],[865.0],[779.0],[236.0]
83,[1.0],[258.0],[293.0],[295.0],[252.0],[203.0],[56.0],[1.0],[259.0],[277.0],[279.0],[246.0],[227.0],[90.0]
88,[1.0],[751.0],[878.0],[892.0],[834.0],[710.0],[275.0],[1.0],[898.0],[889.0],[894.0],[866.0],[789.0],[425.0]
89,[1.0],[834.0],[1043.0],[1079.0],[1030.0],[896.0],[235.0],[1.0],[998.0],[1100.0],[1122.0],[1088.0],[1009.0],[428.0]
90,[3.0],[2326.0],[2996.0],[3108.0],[2788.0],[2418.0],[1364.0],[2.0],[2737.0],[3192.0],[3234.0],[3032.0],[2749.0],[1849.0]
91,[2.0],[1641.0],[2258.0],[2378.0],[2140.0],[1870.0],[1168.0],[1.0],[1956.0],[2450.0],[2462.0],[2289.0],[2090.0],[1498.0]
92,[1.0],[1298.0],[1720.0],[1792.0],[1594.0],[1381.0],[859.0],[1.0],[1456.0],[1813.0],[1837.0],[1706.0],[1581.0],[1125.0]
93,[1.0],[1497.0],[2011.0],[2104.0],[1875.0],[1641.0],[1028.0],[1.0],[1779.0],[2161.0],[2183.0],[2025.0],[1861.0],[1319.0]
94,[2.0],[1698.0],[2306.0],[2418.0],[2181.0],[1916.0],[1191.0],[2.0],[2043.0],[2501.0],[2524.0],[2358.0],[2161.0],[1544.0]
95,[1.0],[1128.0],[1511.0],[1581.0],[1435.0],[1240.0],[739.0],[1.0],[1316.0],[1586.0],[1614.0],[1517.0],[1411.0],[982.0]
96,[2.0],[1559.0],[2161.0],[2296.0],[2076.0],[1833.0],[1144.0],[1.0],[1852.0],[2345.0],[2397.0],[2248.0],[2069.0],[1500.0]
97,[1.0],[1133.0],[1540.0],[1611.0],[1457.0],[1260.0],[809.0],[1.0],[1333.0],[1625.0],[1663.0],[1556.0],[1444.0],[1038.0]
98,[1.0],[1574.0],[2137.0],[2256.0],[2029.0],[1778.0],[1148.0],[1.0],[1870.0],[2311.0],[2331.0],[2173.0],[1993.0],[1481.0]
100,[0.0],[1068.0],[1451.0],[1524.0],[1384.0],[1191.0],[736.0],[1.0],[1244.0],[1513.0],[1550.0],[1464.0],[1356.0],[958.0]
