Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,269.68748787762934,918.1197940698012,1169.829327286062,1155.2218287980454,1291.3275331396844,833.1255598505,357.61063911562405,436.4303507577583,794.3564694614215,976.1004148434474,1169.9924026862975,1176.5272478168386,851.2125314637008,541.9814501051355
601,123.09624600138079,395.05929652352404,568.5447400203232,556.0515447237476,434.02685228379517,328.9768699868334,309.38348510465346,358.12193766993545,415.7322160071206,438.0528381499464,422.0440158517206,393.00748925276145,376.30997793445124,379.3338394515263
602,121.96716029294345,393.27350088308225,448.6212483277858,419.12299743701044,466.17138317898844,350.29878687767666,197.377572473063,212.2217914908354,309.8104930862705,364.4809316450673,410.29249670919774,423.04641435023757,356.22706659589267,278.2531926132226
603,-10.92597178085822,205.16213955154257,284.4709233129328,201.80850627253335,214.87013789489546,192.3215227471889,10.810602621798921,-10.153524253528872,204.11069281292944,283.6679065815614,202.97116063856095,214.97647655612167,191.5065684721395,11.366743008430916
604,103.39188469459944,270.21115920569986,297.73799230357895,267.6409846887691,292.4482364608784,223.11311717960007,130.43064668941759,143.4206191993106,211.6601544069324,242.27142616214533,261.41425517118967,269.39701592332295,232.01149047871277,182.98531820867782
605,199.96022005210563,408.0068845778865,473.5153771264737,414.83064787215324,329.7079838448586,290.2612291259329,303.6477673680142,336.46018065070683,356.71408171073836,355.7959344285488,343.95245881414843,334.50248086794346,333.0361477467918,336.96992282028435
606,188.0549768234194,454.9767927337624,577.1634744462326,526.982946839236,411.5695984635866,340.47000724495365,346.25304489007505,393.0113418735458,430.3524398926927,435.4458126855825,417.97176398325036,399.7601445871956,394.1482320377054,399.94562434474716
607,68.82060695068486,344.5540876269573,457.5543278299989,437.2231498563416,484.089732881386,378.3928595220895,201.11960102276183,179.8130410845357,282.6133909032935,355.83690198567626,409.22165161270914,435.51568562007344,377.86694315846216,284.23821136495195
621,50.97091298748359,391.9462666597354,477.66973739148557,422.4115497145603,507.49113798758685,413.6609824806457,176.96854307106497,155.47824915429976,309.5119354616074,382.5047440635467,420.7347295917674,468.38547245618764,403.15555024368865,265.0301624356257
622,31.89907283942091,295.86485974956696,382.38477869284566,346.34953008398713,396.8198618179689,321.49156486195733,144.40446443616455,120.17188485185255,234.32001350909727,303.1161830621201,337.48772512878776,365.8330801465214,315.08119120266315,213.19644713895184
623,60.589384870668766,294.3990335732323,370.45074297233174,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365,265.98309469342365
624,172.99811140865162,369.5647600103496,399.1586193839703,371.6671224112721,463.22899018407736,352.98865716716347,223.74607110167506,243.37452526419335,314.8069665601831,321.4388095548746,362.76478316067823,397.01101490774835,353.5040052316386,296.3330765151183
631,152.9680432642904,480.2465974051554,560.1417167351195,503.3957392064334,586.935538055081,428.90535440689706,204.39748855668844,234.8558003135927,399.7762463563242,454.0604088611266,505.3658667277948,539.2237544738471,435.4057024671118,301.4565380679011
632,8.700248681141204,224.02367344066755,268.7093978451273,225.98383253119397,295.3052091468806,233.77358801581613,6.7684019705456535,10.553211246892062,221.72140649166042,266.6472790148322,228.02773821488537,296.23713912346284,232.2388858166482,7.869087514008072
633,120.21392641990359,264.6773927012719,320.32669493916035,283.4789789942452,218.03291952445898,182.36388239958708,189.86055414574673,217.63288746444414,237.60262329238026,238.67158108893557,227.7535513597302,217.51817414954292,215.00093705805944,218.86519068202492
634,50.448878535771016,121.26011518644817,174.38994039757358,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236,124.38417968522236
635,85.7075184391135,178.25369360645496,175.6089406130951,165.31182890484442,189.8658053073936,131.76124669713136,83.98577237855147,107.91675964258673,141.46789644081244,148.83548736796217,166.49790833126417,168.56280139584084,138.84554708072613,116.8216693955254
636,156.81228479713076,318.4888044348953,369.3308397732983,319.89494300153933,246.82811263587038,211.3718285514647,222.7418537967906,253.38281325091427,273.702141584613,273.7261842214562,261.916386371009,251.51921403142333,249.25427977403166,253.31670700701358
637,110.83565435923572,246.2193350812724,300.30925642846086,270.8833702486295,215.3290537145185,184.13904727579052,188.49522278854727,209.70667072220547,225.46922406621383,227.11313482829934,219.6934571141665,212.40519527092766,210.3072727786158,212.58990353322298
638,24.328476724995937,297.55995145311687,314.3891188255718,206.20048913617237,293.7940482820155,261.3233332837721,8.458803574652478,25.760657113834043,288.771163759013,305.6939280708386,207.06888448993254,296.84474484844867,265.2240546114075,15.878453580756712
639,111.0307121955357,255.6035071138615,320.7318560571289,289.3081468566632,217.79049271060077,170.470167550666,171.7579309021064,203.3828194154136,232.40974722804725,239.48876224973017,227.5180579150204,211.66834193977712,204.39859040497956,207.72123235975064
640,64.9234735906715,150.1752787675158,182.24156290948062,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696,139.84685415279696
641,128.62231958232667,268.9809903248586,273.84642549365117,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485,205.94240358512485
642,100.7039515528129,269.91765685527173,302.390514732077,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404,234.13585300602404
643,-1.29048301935552,291.5121909226078,369.4632382598661,283.8906593235248,307.31414742445577,211.77282798823342,-47.404155769725406,-16.002251850189396,283.05647015285103,367.10350443343714,286.18830933630466,307.0004962906832,210.55688738154112,-45.05108461079547
701,17.824820540813022,158.53779922949872,232.9379092746629,273.6814039767313,218.27302802539228,110.87578144160521,32.327226823683844,41.727108107190205,131.9708563912426,235.11923356246007,273.545799868474,218.35628441932948,111.11516876719867,32.54254486537147
702,-5.181777477601969,220.31344642091028,286.93726857592003,208.76265695199388,232.43963575263516,192.29754355551205,-3.189307004862684,-5.088225237588176,219.8771513176835,286.3444406779753,208.19395792709653,231.79378217844686,192.5604375710921,-1.9107346974058999
703,78.88762081263346,213.58075572235106,286.0375626260448,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686,195.40521690885686
704,35.840576104993545,166.29195288336402,215.7105824776666,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132,156.0311416362132
705,61.37923811574727,188.6003760719238,260.7832530164468,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008,186.92788165136008
706,19.59948130434404,151.8639361518308,234.12952370348535,274.7904513088247,224.5281445545349,121.17683213687721,42.53251149671121,47.79329363734617,132.99907991472168,234.0125600779635,274.7975598549337,224.65397423620544,121.32666664696812,42.59356546247797
707,106.0575035761394,278.21345192287265,274.1316523811505,164.9312913114775,141.23554183734387,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029,191.0491311129029
711,0.32145281702357165,0.48978478643783724,0.2843543634699029,0.2783715608888473,0.3463796015434225,0.3749740790946602,0.3330841886771837,0.3312402557482256,0.3456683513013696,0.3505354825597138,0.3420200892320443,0.34160023459343863,0.3446552410059646,0.3454793835756722
721,73.06020191374208,227.87590015255947,341.9229504444515,242.7430745232262,230.3170098554755,228.76017101399762,228.5651175322123,228.54067963938553,228.53761786063467,228.53723425599307,228.5371861948714,228.53718017338167,228.53717941896025,228.5371793244402
722,47.433565902523014,173.60498422058197,208.7679172030384,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315,160.43277988544315
723,80.0752413758521,272.95527105963396,405.94846736282716,405.5879804301351,316.30399490598575,230.19534694344293,206.6226933324498,241.40740573472766,290.8124653654865,315.3325847229644,306.0086610976416,280.5940442247907,262.2497694070242,261.5036582723783
724,169.63121492421357,452.9175560436707,610.9600464485327,577.0129298330925,442.61189327490484,337.50998304493527,325.1362312625836,381.47130774194875,442.74603831179513,464.2146765891719,444.84901687846195,412.6416716497506,394.7253068151166,398.6337718787198
731,65.31235110445374,198.82364869175655,283.55187692974175,275.5155481879027,210.89450774211704,154.0577200194674,142.7052234437676,169.9295009968105,203.76870342850316,218.07996789392467,209.14437001932492,190.93134310710175,179.39053485341904,180.50361649313405
732,13.308696966827739,198.01796709250317,265.0966364182733,221.86932705959282,237.73920967804207,187.01184493190433,23.321575304429786,18.646239430454102,193.8181422254023,263.06987266586384,225.28068856514045,238.05526354884034,184.91157213920857,25.848810163524377
733,70.76812215087344,240.97336709693843,353.2375510511448,349.2535064381708,274.66315704724013,208.39070793662404,194.390535537733,223.34286088251625,258.8872054747674,273.3782160733503,264.2891903733486,246.75323176827771,236.32256827412564,237.78043285097323
