Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,226.46108152819835,759.9617064262462,911.8267293502349,921.3371412389876,989.2605195784115,764.5556284085573,462.54364448029594,439.6683974308377,593.1572621806646,721.8805079430051,833.6173957204564,879.1995838163599,783.4369855296628,638.3311162152984
1,103.1259317224397,351.3159260151728,526.1375926460142,530.4236876664228,416.28543121686255,300.87644375641986,264.39415277345284,306.5709507292332,372.84534555925416,409.61677780598603,400.99158980169466,367.59354916678126,340.51249427324626,336.4306202999281
3,-25.05387386686573,449.4833007054931,686.5733579475367,721.3020679664976,753.779649400767,565.6521257970328,254.73228502924613,187.04303016745627,348.7551350532235,519.8769223695294,646.2987457218283,687.808949786546,573.8259865932647,393.49969572268066
4,-50.26555228888333,297.57186063243586,468.6160038493295,489.5515434926514,554.2545319990418,449.4075045338269,198.73304636718538,118.69690647863507,231.09692054531854,347.26233660160415,437.46807363115124,495.82281409052155,437.7631027440117,299.3872180892171
5,64.93429225533043,228.79132839168972,349.67808651219923,355.56621553659437,274.744000875301,187.87817299306963,157.12397675026182,188.08219930661076,241.82830667365712,274.54078491135726,269.37729275678896,240.59797925424417,214.88218102295258,209.26374953004589
6,-33.876027197011865,270.1746900049264,447.8237875393228,489.0087537571953,499.32798171747993,370.84679961642934,170.24785261803336,114.72710956809351,212.5179737026562,335.87263681069624,427.548565692455,452.26309570828187,377.9332969707167,260.64276328651584
7,-40.37234095895741,456.67806806113344,659.2542045946661,499.81736577886295,529.3299095822482,448.8729633232149,11.646844219957245,-40.04423334574068,455.731600926643,658.2422598167166,500.3926915106956,530.1663947360503,448.84845387856717,11.891400842184282
8,77.44774773987501,711.4888729390077,966.0398511546119,999.5726481678871,1073.1534336439386,836.3131473075739,450.35934391445835,382.56024176574175,563.9992503530834,730.2611183102922,872.6369853350855,946.788648253729,840.0952409994909,650.806028890107
9,186.88847113962282,489.729179188585,652.9109658534883,616.599188974634,482.9637230937932,382.5865122871904,372.56289591749703,425.05464173938344,479.4099989214377,497.052623883904,479.8425470397164,453.19768421850796,439.31190289818886,442.9395872466422
10,49.4425941546275,475.26812740054197,643.0638531275249,677.6844692778235,706.4831373944286,527.8369791475374,272.839265301555,235.87075871972826,368.40919986382204,501.8439491913054,604.6124164805553,634.442152336823,540.0333470605635,402.4520011122336
11,23.8388168741119,619.4819802245956,832.879012031751,776.2212209554274,817.0729131152542,626.498677937099,262.02196572789194,224.77563788900807,472.710599398915,651.9905406831131,743.1166858997062,773.8841383708652,632.1029539401774,411.92201359768353
12,69.77167865039132,462.3979043464721,602.4614320306857,686.9994216498825,519.1738636172113,253.91720007791784,90.63133048574616,152.06327954397588,392.03247262068635,630.1463113731434,687.4071202877685,520.7703395473895,255.50233074381217,91.01352321754285
13,17.9182716403638,401.7816068126983,478.8994749037456,343.7248567109539,448.30733719008276,412.79585445365666,74.82488631978924,70.89775582875598,411.4523409458398,437.13520891889294,291.0147830451178,416.8732032629559,425.0078178053281,120.76346781714278
14,63.96454293991809,489.38958934307306,640.6637857861069,602.0072286806853,605.1619919082912,435.69030982724973,193.53728651919982,198.89883875716674,378.63043204816904,506.68773571072256,575.0658972326546,576.1250740732426,453.202969237935,305.85966808627757
15,45.49143837430006,516.7746778481485,677.449734334011,695.7332233384624,754.7405729990555,585.2257885589478,302.2785657238146,258.27181403445013,396.8502419006891,519.4918425292856,621.6207061945339,672.0878239878882,587.8398111195219,444.3278362374052
16,178.68513415490975,592.5766126092642,680.4402329782932,671.8779492939086,518.1834850771811,466.73529808941197,445.09392234758866,497.23433173839663,520.1016671898811,537.7258828945903,521.7729197578722,513.3708653782578,503.4723386896212,507.71766114599865
17,-13.446036828370495,386.51931379569885,590.7799031823995,622.7940180215983,644.4199703956939,496.91995118006287,254.172848387297,188.66215763724455,303.4863941083511,439.460670741827,541.3997053818073,577.0134405604846,501.69802045772,372.4466321151362
18,66.6427354256677,498.3748766178455,620.6558371394576,716.669509486826,550.0799125168057,275.3427435648359,99.06304745218506,153.6911126049608,398.00415950644526,648.2129957433594,716.220887229247,551.0268785758285,276.97247688483617,100.14994464450581
19,-90.08211207592774,527.3928646864538,823.0584919676014,843.2160682400277,913.8482880613933,737.0479052246305,371.65598993190025,258.4690530210226,413.6927253639483,591.6151678457638,734.2064989023502,806.0493675975823,718.4650905505412,539.3469219517791
20,431.9454825933359,925.7365921580986,975.934386614414,886.6913213153542,1052.900386594142,754.5196959665703,471.29113367567254,569.2516772435076,758.2887387957437,794.5890132245848,896.486978173175,930.89137909752,780.3661199715078,648.2265070759814
21,-96.93891974620647,469.277202382807,765.113906111718,775.5331486357506,840.9569172487124,677.3237281881253,318.1229339556523,206.8006000276971,372.0412022523821,549.5389903854233,682.5504620952756,751.6795637861974,660.4440349541082,473.21305077949125
22,71.12766096977134,632.1508194298793,840.9945710582385,824.2742795490046,860.8113439828714,646.1546084510081,316.2840396572946,288.7493308420404,487.61514294513864,649.442265420639,760.8962172330199,793.1893309318002,662.2539125183108,478.3415472382739
23,-6.4280739528531115,115.40011516445392,228.83382637514268,274.93840791922815,239.74730593948254,137.24198106847922,35.84995230791404,18.419846701576034,101.6457314255232,218.84822451203735,279.6022482418524,240.21582014405465,132.00442522438652,36.18483909158145
24,-19.294914520572263,452.5266363154568,627.0887743376747,639.3466469750337,721.9774054237006,568.9735490443488,259.1233994391615,199.5755689133722,347.78921178489327,470.40235252801074,576.5261783021484,645.0399737437958,559.8237427854929,396.4751488881461
25,21.713845020145186,265.02671751841297,303.9844868618372,203.56306571098202,258.3559537294802,246.25877935490385,57.373416510632524,67.7103763867582,273.87927167818026,270.69225378412983,161.41833704771818,236.86157792285772,257.1554965336744,89.42532345372314
26,17.682763578658296,945.5984913805448,1237.4608960876963,1156.730578036187,1251.9775672473475,960.6368285183094,400.04180706066364,362.1007311608927,718.9324697121726,946.9871083183986,1091.0275959241953,1168.8116042239621,963.8667755915252,644.0653489747745
27,-11.842086285384369,172.4131871916593,239.03665860806356,184.77875409040345,205.73021273781822,169.91024562738562,1.7277313576290396,-10.653155868295755,171.748076231681,237.47250859945856,185.60408697249136,206.92530569469176,169.09997670185217,1.575752035765987
28,49.925231908152114,168.32514404972375,301.8227694530694,354.31858639819256,286.8299860177981,150.25297444713175,47.452963386607735,55.84856100952234,169.11495721463947,301.9496111340473,354.314924948803,286.7764370467707,150.1995188357713,47.441055004385134
29,40.87018849604139,155.2006409859165,225.1441241767443,218.33740071954932,149.6069861774043,64.8371011310817,24.9903147316204,61.834653689013635,148.46914459101635,219.05297987284263,220.1003001081761,150.99128808279147,63.93559804181612,24.530535975506467
30,-10.482356456928756,420.04838717986235,583.5631661666537,559.772664902765,596.2409200804639,456.7477887976396,196.376911340035,164.8773036084316,322.3120597213332,442.09334599351905,519.9071470925828,552.4883969987959,457.40722705323793,310.41900915574354
31,17.073560841668822,136.08010809674457,125.33163501429372,81.44057384336656,137.08333367932534,121.31364402990557,8.890093023599348,29.53050111037596,137.98891166483315,120.06437910992136,75.48427696567481,129.85579343918835,118.45960812380422,17.208537941117655
32,50.42955768301874,393.1585309603031,479.36490467775553,453.1337141507877,490.929313901828,373.2590678391043,169.58502018283983,165.49758029707266,296.6424943033969,377.71076491093237,430.3954867395796,456.4736910640894,379.5034875544567,264.25619540547206
