Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,4.9706305072573915,16.210385393449958,15.317818959495078,5.558538456986382,10.753454044554493,16.980892304778216,8.020686833438212,5.283571735051458,15.15088586497092,13.3845885103601,4.526989902463461,10.422502361776816,16.603773955900515,7.994359834671153
1,276.2909140736299,389.84550287072176,496.7711627998017,574.69349625629,593.3869481355285,520.3943522806861,426.04362934446647,383.28149253906554,401.1361510896721,456.83320744322714,514.3211091584494,535.5535480289421,511.72522273423954,467.0795872235401
2,125.46499835029039,226.6625105666413,280.22609278201605,320.3565233950427,332.02759489752435,281.6773953581149,222.68559163329127,202.9958923708502,217.91541061917482,251.83807535858654,285.0772703990414,295.0423759057296,278.47610608358974,252.01054910571662
3,1311.9741678207856,1458.7862840061157,1725.877184310434,1978.5825863651237,2001.4467568066243,1830.5941326696443,1638.9120143031407,1529.3709819271824,1542.791017674778,1659.0716336948428,1786.880457445022,1841.2541489485013,1807.146137983235,1724.1446183880405
4,514.0301537023074,2028.3685327605142,2196.182108918315,1659.6557515953068,2304.1438958844346,2580.648808421279,1208.3603907343168,902.4713331479144,2120.561934853464,2138.547302289605,1432.2765725769623,2120.0524045760303,2529.5386865146265,1348.9832797572099
5,1145.064518126755,1262.9811527383908,1470.8552692189648,1650.4939004921225,1701.713348508852,1646.471563862887,1561.7010356230132,1503.2547215105824,1491.7637339514797,1515.017108302672,1546.4674873504223,1565.8544329810327,1567.6269770690583,1557.8848051794378
6,445.13875828267237,2082.5579098824624,2450.201118399249,1861.7337725617092,2210.291728847418,2259.9110996627332,920.85636254183,706.5090583639392,2088.228535919705,2351.7336865779407,1680.9059577262494,2091.7155936417516,2274.057180610392,1080.0255964767575
7,427.550265919117,2254.4397695651655,2773.833010713485,1940.8414820561934,2431.1607583951914,2735.1940464012077,1197.4474936926297,780.7999618733566,2365.2847831329177,2616.279276329711,1666.127905820246,2229.213842436685,2741.070925506513,1398.59455516699
8,623.3779848656583,1428.362772451,1754.1284277271825,1851.285020935797,1797.8578718856804,1329.183671134515,912.9502541400634,927.847647511777,1186.817496510687,1465.089025956434,1664.4394039855651,1647.735070359256,1421.8468320296486,1189.9523502426189
9,891.9032642257853,1246.7878919295763,1910.630677588435,2494.4036758516927,2768.6901189554155,2519.239848434457,1935.9101901889542,1494.2148530554216,1450.1613056401545,1741.5591622629554,2152.8598134858894,2423.346198643927,2389.5314443170455,2111.9146030313996
10,286.46422575568386,1281.9494225239328,1422.8578607613072,941.41868557772,1152.4828471439196,1230.6707819306162,492.20792021781045,457.482415122057,1302.9325688791048,1324.9496156247267,800.8137176998271,1074.3293646447592,1261.242898711837,607.3428412364672
11,795.0980893950712,2184.187677489048,2719.6378874062284,2928.719563211222,3166.9318430954013,2633.3213731071464,1871.6572207130598,1685.9469986015965,1926.9152129668087,2270.161302170645,2623.233386246138,2768.079573806522,2580.6951550865247,2264.4049634981293
12,69.4266316438709,458.9649678918504,818.3629110403242,1068.3237771530669,1210.4357139358556,988.4438119205074,616.0655341340774,431.4977443021769,478.07298219051427,657.6001106571895,881.877543241624,1005.7651905536454,942.9455347391792,770.2091095467473
13,945.7140902776705,2349.6708051482533,2741.2746658967158,2558.633657167073,2345.290482318376,1508.9836013589706,733.5405823217386,1129.8921840156804,2146.6023117527807,2705.5389387317323,2695.7358477299076,2228.6972211923185,1396.4963017533923,868.8467497697941
14,270.4782899514465,881.2844755177732,1380.002184919011,1646.007879823203,1756.2486687310748,1437.3166137685723,928.2150112778811,712.3978359589497,845.1674914644175,1126.26099774307,1414.1396479793004,1544.9091210091187,1416.5871464854863,1150.9800220191094
15,466.2086816240612,678.7278230907506,778.7353616868153,836.6969079725502,814.5928498087424,696.1641377706728,596.661516836694,581.4121357412042,625.1481326113369,691.7692039912023,744.5851526418617,751.5696055093488,716.3748360797555,671.0228031739285
16,288.6920471342871,669.4713128950582,988.156753480075,1222.7289015759357,1317.781245397196,1126.7364972440337,835.7384951136096,685.676402306531,709.8798724849385,848.3703722159315,1017.6649703490586,1109.0899215733966,1073.6442913603362,961.3390799542236
17,168.49081043656014,557.4659655734707,695.3992496655856,525.8468684798405,555.8298655110805,653.6615687215827,390.23872576438305,269.7238228873998,571.823507001654,670.1161958232306,459.67529524031045,516.9387886885434,654.9192344775173,431.907026502462
18,39.981426387960596,429.7136521602442,860.9818806116335,1163.2326862409586,1284.2586511744018,1041.0139172165086,637.2897317470811,421.01810617605577,471.376489672454,687.9749672019506,943.4401046846235,1076.1584018007622,1000.6542214519982,800.3716501526616
19,1098.1914358407187,1374.268277637155,1711.494933341429,2005.5623462131011,2069.9454545451417,1862.7821774688528,1590.6659845147046,1441.190217171346,1453.4810165012582,1589.7829127284708,1759.366447179947,1850.2427416757505,1819.329299793761,1714.1604666121239
20,472.2238787961294,1819.6399182169496,2499.3580715993803,2234.0314059091716,2221.6038115661454,1960.951437772996,824.6506478073918,568.4736893308918,1771.0847277222697,2482.809963512879,2250.8981448452187,2236.3558389418254,1931.4895407715524,833.8895880951338
21,697.4017799897738,889.530473477457,1365.9106271368141,1768.6928521840855,1933.2863178643834,1776.469150218236,1399.9480894562219,1094.9138865663192,1056.0300002432175,1251.633409425095,1525.992318565184,1707.1683856694608,1690.6328310833924,1509.6315252816498
22,-120.65637771766387,242.86770754050252,590.9132205159701,860.003067459019,1042.7302438915667,913.871891843407,587.218825998169,376.4166176339058,359.9053543847453,468.91938859076316,645.010862926482,784.9177512019605,792.7855010064857,691.1443221153701
23,814.5791109187523,1280.1493379564674,1460.3974084069023,1614.1014690368515,1620.2183886861603,1358.3724221066277,1114.0009432586555,1070.2446460015706,1151.6389635248688,1287.3303346132261,1419.226676863417,1457.6763361725323,1388.0016964633553,1284.1561500723328
24,1221.4419869641006,1743.7477965511093,1892.352729889522,2038.5220938788095,2132.124583153498,1936.170167825881,1733.8823813496858,1712.0240349243807,1742.4533843742167,1790.892079759425,1871.6623339218272,1907.3952572911737,1877.5460660584145,1839.717342590022
25,242.40903850468231,322.2788386763906,322.5422626256397,332.3339976222004,320.78298008980335,284.5018691786281,273.92180016737467,281.9306863355791,288.15554576849013,296.71225248053616,302.734087963307,300.0077485757096,295.1846070852741,292.57922735582486
26,974.0339724373009,1441.7123927787927,1495.2196802664637,1539.0669676165658,1593.1957701435024,1417.1348417259835,1242.7820776234482,1247.4412384389034,1303.6638354779648,1356.3471768121017,1425.9109008074545,1453.1784831270934,1414.3520856183393,1366.3591170116065
27,248.5870777093641,462.693967432229,575.1146358230485,630.6324409454966,609.1838495290732,528.4114265769188,472.50695946289926,464.80140758120035,487.30997446742697,519.1856331088568,538.4554938461073,537.0986593797367,523.9390592530481,511.0054308817591
28,441.6594797964773,422.652771546737,658.7914415121097,918.059617980615,1044.7385078770476,1002.8500809404935,838.7280681922822,672.700055814334,613.7786278065053,676.1832773892135,795.9766513380273,891.0856886794161,908.4480532400553,850.8764500910294
29,401.4014349194087,983.4637824150515,1231.704616282433,963.2897206809965,873.9504216993655,966.024827497889,679.1061248568844,542.836600522237,951.203177527151,1132.5060836786258,846.5350484245611,839.3690136912492,1010.224479561818,769.5620395628193
30,188.9568620048911,640.7014584746312,996.5971546352259,931.1720293727873,951.9257897768782,877.2751254813924,380.83474840731475,167.93162073464327,630.0273976723137,990.0155468868882,937.795782804141,953.6145675349135,870.1306580280911,383.63967839989556
31,232.09945392781634,643.9146958674115,914.4288909868415,740.0859823093178,667.1313907149446,728.4197679086866,494.1859517708334,345.37948454268087,657.6493200636128,851.7211951142892,653.6103576170746,618.0340447430395,741.5444655268046,561.7022117757209
32,257.0922833266933,822.2738021741469,1042.7311675086025,813.0186074654739,869.6659930390404,993.4236085646997,581.9849520793064,398.2360983380442,845.6697479299894,1003.8660373585658,721.4651799595829,812.6633549249898,989.4252975342226,641.7890640242414
33,249.4171749212685,679.2441196717701,900.0870277440074,681.5528068771688,689.4595947157968,809.2764370207829,512.0315826805195,340.54530142479393,700.6849228299974,862.48550452257,615.7942449838579,645.0950011464777,810.6413761862203,560.6323614555114
34,358.4678174498763,325.22918382377236,547.5288571082147,802.3813328523548,899.6181325354648,840.3506113262549,690.9042849057706,547.1999148988547,501.22906499353576,564.8030111982241,673.9737706146232,753.779207936537,762.9450487106136,708.9168781623923
35,214.23657503875654,261.4794458359426,437.81691217469375,614.4646064250136,673.7936717469781,608.6218082789053,488.99319467573474,396.9247739850801,382.0868374122757,437.23979892433124,512.9402139815948,558.6744537333839,553.6890356372835,512.1994626164189
36,254.45404740725206,393.3386746191027,575.235112905056,692.3745155926338,751.9108499050758,684.381839103351,522.9151814246864,414.10061714252055,423.08295618734957,509.20356725453723,614.3278333141557,678.3688680281462,658.6853779575943,575.985536184812
37,266.54600667336683,807.8015440897168,1033.225177017582,814.6799529514043,883.0330767980871,1039.4501100704158,629.7079000976457,412.36393040510586,843.4719011219894,1009.9798442086603,723.7883102975512,820.4059287756472,1025.7881344062234,681.9798566873311
38,470.3866072567026,642.9331304568283,666.9493290075354,630.3783097748353,554.6050288648985,474.81598736210145,451.9405388059334,487.22769391766514,540.7914822752382,578.1910690384747,582.5274416881325,558.1759063882249,526.3289094392454,507.9142075095741
39,278.56707925536534,730.8268562840974,1325.9974892583778,1388.2431143936356,1190.831096480758,1016.4163647347457,657.9539495721222,416.46254927836725,719.1495254675392,1234.1074241200004,1405.8220052851477,1251.6142615547749,972.7589915514576,634.912665580268
40,600.1905640168274,795.4247383954412,900.9041137791953,1042.5520678351115,892.2554742185982,782.7053522299734,804.6357727981012,759.5001037344593,881.1315237176307,899.6478891686735,843.9105044834541,878.2777735547375,801.9478038439544,824.4159128625763
41,410.69876549504085,710.4374105998858,811.2957845926461,848.795445547436,840.6320856921891,710.5615739012949,581.9393262186607,566.5510844427039,631.002031904356,715.4015287499915,777.4600322128414,780.5387952978634,727.8203360189856,664.6918340546046
42,392.78965836508394,1203.2980668252649,1581.2285434260416,1268.591133578007,1222.5941400538177,1356.2367178149113,810.1623258948902,555.9051320386498,1210.797291813817,1548.6776168899216,1166.5746670391675,1166.0689173223273,1344.515591391701,885.8910138291155
43,378.18796148137227,528.9455257103779,578.1237830931843,583.4745255629099,554.3936331528879,481.482609784715,429.0891259638231,433.9841688318204,473.35578768233916,515.9307228134028,539.7529932578622,533.1071662120331,504.60986034223566,476.6060734207288
44,890.5749522273941,2533.8801241775877,2875.912670638935,1984.7637348195376,2306.528127272523,2518.614628818828,1385.834511842023,1259.005497007136,2602.1468834950283,2612.1666067441247,1683.8423789826984,2142.357976065339,2608.3611673294317,1611.7036422423448
45,402.38298826322455,874.0796475243158,1123.6812578998145,1585.466687253064,1329.9130818289332,1097.404984418683,553.5542449340135,583.8666472353568,717.1542108169483,1268.521526418834,1432.9465658197696,1453.1403721294794,975.0699877798022,678.3413595818253
46,47.17325319583601,157.14885967995076,223.28894855113774,225.3337893373265,206.56677749519545,141.08460510977713,58.23680016854962,57.78280981657123,142.77615315633867,218.82168484775627,237.05799627988205,204.6674753485697,132.60237715619078,63.598710721963954
47,439.3538487729654,890.0035070163042,1022.2522286885953,1213.1108136284079,1177.1442491562789,768.1378381082574,451.805994628447,484.5237547993142,741.4922979504563,1053.7833131510727,1224.6938908377438,1102.2489117501982,779.6500191759337,518.40453973119
