Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,95.97800143154723,1760.2292676625118,1183.204350274062,1244.5356576423937,1093.7653842006862,895.083328099209,623.8216071380155,369.1480657771301,1688.35696488247,1202.114284344916,1239.560366845626,1095.0744061369687,894.7389183954019,623.9122229182315
601,51.931341264700905,357.5189007679356,539.2649735469247,698.4925953647672,741.580397433068,600.7589402894389,328.8368341401473,72.13755650149437,363.3932316566298,540.9727532070677,698.9890793767951,741.7247347735062,600.8009018981516,328.8490331774886
602,54.37460501936175,449.0994576144792,515.2343174219124,556.8412144229645,578.7191472263673,515.4008151151348,342.7685811161772,112.91084596763392,464.7816698426711,519.4356767231934,557.9667839358378,579.0206940919076,515.4816013403098,342.7902242334629
603,22.26386678838088,125.24386244911419,200.56496387225457,274.97363935133984,311.5114424506263,273.09773687789277,166.35376260567716,43.68928323566087,134.77327944610775,204.80337802518545,276.8587656436862,312.34989310926187,273.47065592836736,166.519626412658
604,13.019792924607259,290.51787019894516,373.5350655561442,418.9906771791026,430.73746612987446,370.4202248181493,228.75743862031055,48.33313974025316,303.67950826128566,378.4405398910577,420.8189965977431,431.41889908994256,370.67420170770856,228.85209835092257
605,23.14265696483949,484.20063246588603,610.4789820837029,659.0775769702086,643.2004963969197,524.5385576426771,309.06897491205905,64.7096814351537,497.9556877601823,615.0307042375048,660.5837995278163,643.6989245338725,524.7034938311915,309.1235543875436
606,27.917260480841264,447.2542524959181,594.8479217388128,710.2241506184174,752.1320867474892,642.3765811075727,389.059164117201,99.94452281282582,469.04100925074414,601.4379649325437,712.2175023496528,752.7350344077108,642.5589603010035,389.1143300501516
607,38.791281317208245,418.31501662974415,525.1733505489324,612.4753463553147,646.008303058432,548.7117016480063,319.0491365072021,48.81449796045729,421.0804862896216,525.9363613379742,612.685865918281,646.0663867540076,548.7277273115795,319.0535580904092
621,41.267864452981485,369.56474044841696,479.5163193386246,594.8878271451536,630.8723841454658,514.3997773198469,279.62275005888165,48.5836330276008,370.71904090971435,479.6984477836897,594.9165638316698,630.8769182925159,514.4004927290316,279.6228629379515
622,43.56886141087574,286.9478664571984,345.70484667217147,425.82913297670115,468.17180466564884,407.04227893304517,249.75017371361324,75.32671195889333,291.4099351986554,346.3317800794996,425.91721891172324,468.1841809912012,407.0440178421473,249.75041803531056
