Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,72.23983255139387,833.1918502869612,1133.8433018957305,1260.0649280477348,1236.169369082732,1029.0670257829152,669.6881849557802,271.5558294335399,919.6553061852999,1171.3512256089707,1276.335898559628,1243.2277304951886,1032.1289492122792,671.0164500501039
1,56.176606807655446,292.5765126567663,465.1756138847452,620.6731579362552,652.6975670570669,510.99534391998947,267.94558895768444,70.42568229819057,295.74144820061787,465.8785940186766,620.8293004743432,652.7322486803786,511.0030472339631,267.9472999804253
3,87.3085425144817,354.16964430921746,604.0432323998637,839.8445799471698,895.5788776105466,696.7521259447775,349.7290666032741,69.80881778346804,349.8710792703673,602.9873494258602,839.5852169167831,895.5151686738674,696.7364767267422,349.72522258957866
4,70.05778842653325,354.4111220206165,478.34019328586953,579.0128461283069,588.6673061397095,465.51063754885587,259.61264322985795,81.78995330976744,356.65635693259475,478.7698735588744,579.0950758923394,588.6830428037308,465.5136491420111,259.61321957140785
5,36.15803381120671,169.27514903691414,286.06924512666285,398.119382245834,421.31508009341644,323.5368533169316,161.51896911539797,40.03250140664511,169.8574485658831,286.15675979366813,398.1325349560115,421.31705683389816,323.53715040421474,161.51901376509
6,70.2280820246803,173.96379879360998,362.5678207328801,556.3183713608347,606.7865330858692,460.09777046230533,208.09577402935096,21.362427256983835,163.90889374965735,360.4988601116927,555.8926489862013,606.6989337674446,460.0797454745535,208.09206509428964
7,59.56180449915627,190.35164803116606,409.97530039608944,638.5006481664245,703.9291557861604,540.7248841074265,252.38443738860556,36.03441361371665,185.84461315975688,409.11190829999987,638.3352520838873,703.8974716136477,540.7188145151338,252.38327466451722
8,134.22149499443867,897.5277697902336,1196.5071102057561,1358.6263025162634,1324.3723304763002,1030.840397880479,563.6749635280087,124.85708661281058,894.6371687965994,1195.614840906524,1358.350877265907,1324.2873123448915,1030.814154525308,563.6668627419854
9,90.19504783862635,474.5677337590654,663.0668806956118,817.1426663032549,822.0669459327812,624.241780343188,314.07175037336805,65.09014752104883,470.3142812182897,662.3462302135239,817.0205685221337,822.0462592496731,624.2382754567429,314.07115655033084
10,68.39009206249591,392.1805398975821,623.3659382816871,834.0252019232635,885.9562027585171,700.9174185089884,363.3930879061828,68.54487317354938,392.2213817303601,623.3767151477615,834.0280455968816,885.9569531139164,700.9176165040119,363.3931401507984
