Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,-1.0,1316.0,1337.0,1138.0,1012.0,850.0,266.0,-0.0,1622.0,1369.0,1324.0,1270.0,1137.0,908.0
601,1.0,325.0,416.0,451.0,460.0,415.0,289.0,0.0,423.0,451.0,544.0,581.0,502.0,397.0
602,1.0,325.0,415.0,450.0,459.0,414.0,287.0,0.0,422.0,450.0,543.0,579.0,501.0,394.0
603,1.0,324.0,414.0,449.0,458.0,412.0,285.0,0.0,421.0,449.0,542.0,578.0,499.0,390.0
604,1.0,323.0,414.0,448.0,457.0,411.0,283.0,0.0,420.0,448.0,540.0,576.0,497.0,387.0
605,1.0,323.0,413.0,447.0,455.0,409.0,282.0,0.0,419.0,447.0,539.0,575.0,496.0,384.0
606,1.0,322.0,412.0,446.0,454.0,408.0,280.0,0.0,419.0,445.0,538.0,573.0,494.0,381.0
607,1.0,322.0,412.0,445.0,453.0,407.0,277.0,0.0,418.0,444.0,536.0,572.0,492.0,378.0
621,1.0,313.0,401.0,431.0,435.0,387.0,246.0,0.0,406.0,427.0,518.0,550.0,469.0,341.0
622,1.0,312.0,400.0,430.0,434.0,386.0,243.0,0.0,405.0,425.0,516.0,548.0,467.0,339.0
623,1.0,311.0,400.0,429.0,433.0,385.0,241.0,0.0,405.0,424.0,515.0,546.0,465.0,336.0
624,1.0,311.0,399.0,428.0,431.0,383.0,239.0,0.0,404.0,423.0,514.0,545.0,463.0,334.0
631,1.0,306.0,394.0,422.0,424.0,374.0,221.0,0.0,398.0,414.0,504.0,534.0,452.0,316.0
632,1.0,305.0,393.0,421.0,423.0,372.0,219.0,0.0,397.0,413.0,503.0,532.0,450.0,314.0
633,1.0,304.0,392.0,420.0,422.0,371.0,216.0,0.0,396.0,412.0,502.0,531.0,448.0,312.0
634,1.0,304.0,391.0,419.0,421.0,370.0,214.0,0.0,395.0,411.0,500.0,529.0,446.0,310.0
635,1.0,303.0,391.0,418.0,420.0,368.0,211.0,0.0,395.0,409.0,499.0,527.0,445.0,309.0
636,1.0,302.0,390.0,417.0,419.0,367.0,209.0,0.0,394.0,408.0,498.0,526.0,443.0,307.0
637,1.0,302.0,389.0,416.0,418.0,366.0,206.0,0.0,393.0,407.0,497.0,524.0,441.0,306.0
638,1.0,301.0,388.0,415.0,417.0,365.0,204.0,0.0,392.0,406.0,495.0,523.0,440.0,304.0
639,1.0,300.0,387.0,414.0,416.0,363.0,201.0,0.0,391.0,404.0,494.0,521.0,438.0,303.0
640,1.0,300.0,387.0,413.0,415.0,362.0,199.0,0.0,390.0,403.0,493.0,520.0,436.0,301.0
