Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,-6.0,1429.0,1585.0,1601.0,1507.0,1183.0,-8.0,-4.0,1636.0,1459.0,1408.0,1338.0,1156.0,-8.0
101,54.0,305.0,333.0,332.0,313.0,217.0,-0.0,53.0,315.0,343.0,340.0,311.0,196.0,1.0
102,55.0,306.0,335.0,333.0,313.0,217.0,-0.0,53.0,314.0,344.0,342.0,313.0,199.0,1.0
103,56.0,307.0,336.0,334.0,314.0,218.0,-0.0,54.0,314.0,345.0,343.0,314.0,201.0,1.0
104,56.0,308.0,337.0,334.0,315.0,219.0,-0.0,54.0,313.0,346.0,344.0,316.0,204.0,1.0
105,57.0,309.0,338.0,335.0,315.0,220.0,-0.0,54.0,313.0,347.0,346.0,317.0,206.0,1.0
107,58.0,311.0,341.0,337.0,317.0,222.0,-0.0,55.0,314.0,349.0,348.0,320.0,212.0,1.0
108,59.0,313.0,342.0,338.0,317.0,223.0,-0.0,56.0,315.0,351.0,350.0,322.0,215.0,1.0
109,60.0,314.0,343.0,339.0,318.0,224.0,-0.0,56.0,315.0,352.0,351.0,323.0,217.0,1.0
110,61.0,315.0,345.0,340.0,318.0,225.0,-0.0,57.0,316.0,353.0,352.0,325.0,220.0,1.0
111,61.0,316.0,346.0,342.0,319.0,225.0,-0.0,57.0,316.0,354.0,354.0,326.0,223.0,1.0
112,62.0,317.0,347.0,343.0,319.0,226.0,-0.0,58.0,317.0,355.0,355.0,328.0,226.0,1.0
113,63.0,318.0,349.0,344.0,320.0,227.0,-0.0,58.0,318.0,356.0,357.0,329.0,229.0,1.0
114,64.0,319.0,350.0,346.0,320.0,227.0,-0.0,59.0,319.0,357.0,358.0,330.0,232.0,1.0
115,64.0,320.0,351.0,347.0,321.0,228.0,-0.0,59.0,319.0,358.0,359.0,332.0,235.0,1.0
116,65.0,321.0,352.0,348.0,322.0,228.0,-0.0,60.0,320.0,359.0,361.0,333.0,238.0,1.0
117,66.0,322.0,354.0,350.0,322.0,229.0,-0.0,60.0,321.0,360.0,362.0,334.0,240.0,1.0
118,66.0,322.0,355.0,351.0,323.0,230.0,-0.0,61.0,322.0,361.0,364.0,336.0,242.0,1.0
119,67.0,323.0,356.0,352.0,324.0,231.0,-0.0,61.0,323.0,362.0,365.0,337.0,245.0,1.0
120,68.0,324.0,358.0,353.0,325.0,232.0,-0.0,62.0,323.0,363.0,367.0,338.0,247.0,1.0
121,68.0,325.0,359.0,355.0,326.0,232.0,0.0,62.0,324.0,364.0,368.0,340.0,249.0,1.0
122,69.0,326.0,360.0,356.0,327.0,233.0,0.0,62.0,325.0,365.0,369.0,341.0,251.0,1.0
123,70.0,327.0,361.0,357.0,328.0,234.0,0.0,63.0,326.0,366.0,371.0,342.0,253.0,1.0
124,70.0,328.0,363.0,358.0,329.0,235.0,0.0,63.0,327.0,367.0,372.0,343.0,254.0,1.0
125,71.0,329.0,364.0,360.0,330.0,236.0,0.0,63.0,327.0,368.0,374.0,345.0,256.0,1.0
126,71.0,329.0,365.0,361.0,331.0,237.0,0.0,64.0,328.0,369.0,375.0,346.0,258.0,1.0
127,71.0,330.0,366.0,362.0,331.0,238.0,0.0,64.0,329.0,370.0,376.0,347.0,259.0,1.0
128,72.0,331.0,368.0,363.0,332.0,239.0,0.0,64.0,330.0,371.0,378.0,348.0,261.0,1.0
129,72.0,332.0,369.0,364.0,333.0,240.0,0.0,65.0,330.0,372.0,379.0,350.0,263.0,1.0
130,72.0,332.0,370.0,366.0,334.0,241.0,0.0,65.0,331.0,373.0,380.0,351.0,264.0,1.0
131,73.0,333.0,371.0,367.0,335.0,242.0,0.0,65.0,332.0,373.0,382.0,352.0,266.0,1.0
132,73.0,334.0,372.0,368.0,336.0,242.0,0.0,66.0,333.0,374.0,383.0,353.0,267.0,1.0
201,96.0,356.0,434.0,448.0,392.0,289.0,0.0,90.0,374.0,420.0,456.0,410.0,335.0,1.0
202,96.0,356.0,434.0,449.0,393.0,290.0,0.0,91.0,374.0,421.0,457.0,410.0,335.0,1.0
203,97.0,356.0,435.0,450.0,394.0,291.0,0.0,91.0,375.0,422.0,458.0,411.0,336.0,1.0
204,98.0,357.0,435.0,451.0,395.0,291.0,0.0,91.0,375.0,423.0,459.0,412.0,337.0,1.0
205,99.0,357.0,436.0,452.0,396.0,292.0,0.0,92.0,376.0,423.0,460.0,413.0,338.0,1.0
206,99.0,357.0,436.0,453.0,396.0,293.0,0.0,92.0,376.0,424.0,461.0,414.0,339.0,2.0
207,100.0,357.0,437.0,454.0,397.0,294.0,0.0,93.0,377.0,425.0,462.0,414.0,340.0,2.0
208,101.0,357.0,437.0,455.0,398.0,294.0,0.0,93.0,377.0,426.0,463.0,415.0,340.0,2.0
209,102.0,357.0,437.0,456.0,399.0,295.0,0.0,93.0,378.0,427.0,464.0,416.0,341.0,2.0
210,102.0,357.0,438.0,457.0,400.0,296.0,0.0,94.0,378.0,428.0,465.0,417.0,342.0,2.0
211,103.0,358.0,438.0,458.0,401.0,297.0,0.0,94.0,379.0,428.0,466.0,418.0,343.0,2.0
212,104.0,358.0,439.0,459.0,401.0,297.0,0.0,95.0,379.0,429.0,467.0,418.0,343.0,2.0
213,105.0,358.0,439.0,460.0,402.0,298.0,0.0,95.0,380.0,430.0,467.0,419.0,344.0,1.0
214,106.0,358.0,439.0,461.0,403.0,299.0,0.0,95.0,380.0,431.0,468.0,420.0,345.0,1.0
215,107.0,358.0,440.0,462.0,404.0,300.0,0.0,96.0,381.0,432.0,469.0,421.0,345.0,1.0
216,107.0,358.0,440.0,463.0,405.0,301.0,0.0,96.0,381.0,432.0,470.0,422.0,346.0,1.0
217,108.0,358.0,440.0,464.0,405.0,301.0,0.0,97.0,382.0,433.0,471.0,423.0,347.0,1.0
218,109.0,358.0,441.0,465.0,406.0,302.0,0.0,97.0,382.0,434.0,471.0,423.0,347.0,1.0
219,110.0,359.0,441.0,466.0,407.0,303.0,0.0,97.0,382.0,435.0,472.0,424.0,348.0,1.0
220,111.0,359.0,441.0,466.0,408.0,304.0,0.0,98.0,383.0,436.0,473.0,425.0,348.0,1.0
221,112.0,359.0,442.0,467.0,409.0,304.0,0.0,98.0,383.0,436.0,474.0,426.0,348.0,1.0
222,113.0,359.0,442.0,468.0,409.0,305.0,0.0,99.0,384.0,437.0,474.0,427.0,349.0,1.0
223,114.0,359.0,442.0,469.0,410.0,306.0,0.0,99.0,384.0,438.0,475.0,427.0,349.0,1.0
224,115.0,359.0,443.0,470.0,411.0,307.0,0.0,100.0,384.0,439.0,476.0,428.0,350.0,1.0
225,116.0,359.0,443.0,470.0,412.0,307.0,0.0,100.0,385.0,439.0,476.0,429.0,350.0,1.0
226,116.0,359.0,443.0,471.0,412.0,308.0,0.0,100.0,385.0,440.0,477.0,430.0,350.0,1.0
227,117.0,359.0,443.0,472.0,413.0,309.0,0.0,101.0,386.0,441.0,478.0,431.0,351.0,1.0
228,118.0,360.0,444.0,473.0,414.0,310.0,0.0,101.0,386.0,442.0,478.0,431.0,351.0,1.0
229,119.0,360.0,444.0,473.0,415.0,311.0,0.0,102.0,386.0,442.0,479.0,432.0,351.0,1.0
230,120.0,360.0,444.0,474.0,416.0,311.0,0.0,102.0,387.0,443.0,480.0,433.0,352.0,1.0
231,121.0,359.0,444.0,475.0,416.0,312.0,0.0,102.0,387.0,444.0,480.0,434.0,352.0,1.0
232,122.0,359.0,445.0,476.0,417.0,313.0,0.0,103.0,387.0,444.0,481.0,434.0,353.0,1.0
301,171.0,341.0,443.0,497.0,452.0,356.0,0.0,133.0,387.0,457.0,506.0,485.0,376.0,1.0
303,173.0,340.0,443.0,497.0,453.0,357.0,0.0,134.0,386.0,457.0,506.0,486.0,377.0,1.0
304,173.0,340.0,442.0,497.0,453.0,357.0,0.0,134.0,386.0,456.0,506.0,486.0,377.0,1.0
305,174.0,339.0,442.0,497.0,453.0,358.0,0.0,135.0,385.0,456.0,506.0,487.0,378.0,1.0
306,174.0,339.0,442.0,497.0,453.0,358.0,0.0,135.0,385.0,455.0,506.0,487.0,378.0,1.0
307,175.0,338.0,441.0,497.0,453.0,358.0,0.0,136.0,384.0,455.0,506.0,487.0,378.0,1.0
308,176.0,338.0,441.0,497.0,453.0,359.0,0.0,136.0,384.0,454.0,506.0,488.0,379.0,1.0
309,176.0,337.0,441.0,497.0,454.0,359.0,0.0,136.0,384.0,454.0,506.0,488.0,379.0,1.0
310,177.0,337.0,440.0,497.0,454.0,359.0,0.0,137.0,383.0,454.0,506.0,488.0,380.0,1.0
311,178.0,336.0,440.0,497.0,454.0,359.0,0.0,137.0,383.0,453.0,506.0,489.0,380.0,1.0
312,178.0,336.0,440.0,497.0,454.0,360.0,0.0,137.0,382.0,453.0,506.0,489.0,380.0,1.0
313,179.0,335.0,439.0,497.0,454.0,360.0,0.0,137.0,382.0,452.0,506.0,489.0,381.0,1.0
314,179.0,335.0,439.0,497.0,454.0,360.0,0.0,137.0,382.0,452.0,506.0,490.0,381.0,1.0
402,173.0,442.0,429.0,479.0,464.0,361.0,-0.0,133.0,391.0,454.0,473.0,469.0,414.0,0.0
403,172.0,444.0,430.0,479.0,464.0,362.0,-1.0,133.0,393.0,456.0,472.0,469.0,415.0,0.0
404,172.0,446.0,432.0,479.0,464.0,363.0,-1.0,133.0,394.0,457.0,472.0,469.0,416.0,0.0
406,170.0,449.0,435.0,479.0,465.0,364.0,-1.0,132.0,396.0,461.0,471.0,468.0,417.0,0.0
407,170.0,451.0,437.0,479.0,465.0,365.0,-1.0,132.0,398.0,463.0,471.0,468.0,418.0,0.0
408,169.0,452.0,439.0,479.0,465.0,365.0,-1.0,132.0,399.0,464.0,470.0,468.0,419.0,0.0
409,169.0,454.0,440.0,479.0,465.0,366.0,-1.0,132.0,400.0,466.0,470.0,468.0,420.0,0.0
410,168.0,456.0,442.0,479.0,465.0,366.0,-1.0,132.0,402.0,468.0,469.0,468.0,421.0,0.0
411,167.0,457.0,444.0,478.0,465.0,367.0,-1.0,132.0,403.0,470.0,470.0,468.0,421.0,0.0
412,167.0,459.0,445.0,478.0,465.0,368.0,-1.0,131.0,404.0,471.0,470.0,469.0,422.0,0.0
413,166.0,461.0,447.0,478.0,465.0,368.0,-1.0,131.0,406.0,473.0,471.0,469.0,423.0,0.0
501,96.0,585.0,590.0,598.0,563.0,436.0,0.0,109.0,546.0,617.0,615.0,578.0,523.0,0.0
502,95.0,587.0,592.0,599.0,564.0,437.0,0.0,108.0,547.0,618.0,617.0,580.0,525.0,0.0
503,94.0,588.0,593.0,601.0,566.0,439.0,0.0,107.0,549.0,620.0,618.0,581.0,526.0,0.0
504,93.0,589.0,595.0,602.0,567.0,440.0,0.0,106.0,550.0,621.0,620.0,583.0,527.0,0.0
505,92.0,591.0,596.0,604.0,568.0,441.0,0.0,106.0,551.0,623.0,622.0,584.0,529.0,0.0
506,92.0,592.0,598.0,605.0,570.0,443.0,0.0,105.0,553.0,624.0,624.0,585.0,530.0,0.0
507,91.0,594.0,599.0,607.0,571.0,444.0,0.0,104.0,554.0,626.0,626.0,587.0,531.0,0.0
508,90.0,595.0,601.0,608.0,572.0,445.0,0.0,104.0,556.0,627.0,627.0,588.0,533.0,0.0
509,89.0,596.0,602.0,610.0,574.0,447.0,0.0,103.0,557.0,628.0,629.0,590.0,534.0,0.0
510,88.0,598.0,604.0,612.0,575.0,448.0,0.0,102.0,559.0,630.0,631.0,591.0,536.0,0.0
601,18.0,720.0,729.0,742.0,701.0,590.0,-2.0,30.0,682.0,748.0,753.0,710.0,655.0,0.0
602,17.0,722.0,730.0,743.0,703.0,591.0,-2.0,29.0,683.0,749.0,754.0,711.0,657.0,0.0
603,17.0,723.0,732.0,744.0,704.0,593.0,-2.0,29.0,684.0,750.0,755.0,713.0,658.0,1.0
604,16.0,724.0,733.0,746.0,705.0,594.0,-2.0,28.0,686.0,752.0,756.0,714.0,659.0,1.0
605,16.0,726.0,734.0,747.0,707.0,596.0,-2.0,27.0,687.0,753.0,757.0,715.0,660.0,1.0
606,15.0,727.0,736.0,748.0,708.0,597.0,-2.0,27.0,688.0,754.0,758.0,716.0,662.0,1.0
607,15.0,728.0,737.0,750.0,709.0,599.0,-2.0,26.0,690.0,755.0,759.0,718.0,663.0,1.0
608,15.0,730.0,738.0,751.0,711.0,601.0,-2.0,26.0,691.0,756.0,761.0,719.0,664.0,1.0
609,14.0,731.0,740.0,752.0,712.0,602.0,-2.0,25.0,692.0,757.0,762.0,720.0,666.0,1.0
610,14.0,732.0,741.0,753.0,713.0,604.0,-2.0,25.0,694.0,759.0,763.0,721.0,667.0,1.0
611,13.0,734.0,742.0,755.0,715.0,605.0,-2.0,24.0,695.0,760.0,764.0,723.0,668.0,1.0
612,13.0,735.0,744.0,756.0,716.0,607.0,-2.0,24.0,696.0,761.0,765.0,724.0,669.0,1.0
106,58.0,310.0,340.0,336.0,316.0,221.0,-0.0,55.0,314.0,348.0,347.0,319.0,209.0,1.0
302,172.0,341.0,443.0,497.0,453.0,357.0,0.0,133.0,386.0,457.0,506.0,485.0,376.0,1.0
401,174.0,440.0,427.0,479.0,464.0,361.0,-0.0,133.0,390.0,452.0,473.0,469.0,413.0,0.0
405,171.0,447.0,434.0,479.0,465.0,363.0,-1.0,133.0,395.0,459.0,472.0,469.0,416.0,0.0
