Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,67.0,1016.0,1184.0,1131.0,969.0,766.0,466.0,22.0,1035.0,1080.0,1018.0,882.0,637.0,346.0
631,3.0,266.0,215.0,139.0,87.0,49.0,8.0,5.0,163.0,180.0,128.0,87.0,78.0,5.0
632,3.0,267.0,216.0,140.0,88.0,49.0,8.0,5.0,165.0,182.0,129.0,88.0,79.0,5.0
633,3.0,267.0,217.0,141.0,89.0,50.0,8.0,5.0,166.0,183.0,131.0,89.0,79.0,5.0
634,3.0,268.0,218.0,143.0,90.0,51.0,8.0,5.0,167.0,185.0,133.0,90.0,80.0,5.0
635,3.0,269.0,219.0,144.0,91.0,51.0,8.0,5.0,169.0,187.0,134.0,91.0,81.0,5.0
636,3.0,269.0,221.0,145.0,91.0,52.0,9.0,5.0,170.0,189.0,136.0,93.0,82.0,5.0
637,3.0,270.0,222.0,147.0,92.0,52.0,9.0,5.0,172.0,191.0,138.0,94.0,83.0,5.0
638,3.0,270.0,223.0,148.0,93.0,53.0,9.0,5.0,173.0,192.0,139.0,95.0,84.0,5.0
639,3.0,271.0,224.0,149.0,94.0,54.0,9.0,5.0,174.0,194.0,141.0,96.0,85.0,5.0
640,3.0,272.0,225.0,150.0,95.0,54.0,9.0,5.0,176.0,196.0,142.0,98.0,86.0,5.0
641,3.0,272.0,227.0,152.0,96.0,55.0,9.0,5.0,177.0,198.0,144.0,99.0,87.0,5.0
642,3.0,273.0,228.0,153.0,97.0,55.0,10.0,5.0,178.0,199.0,146.0,100.0,89.0,5.0
643,3.0,273.0,229.0,154.0,99.0,56.0,10.0,6.0,180.0,201.0,147.0,101.0,90.0,5.0
644,3.0,274.0,230.0,155.0,100.0,57.0,10.0,6.0,181.0,203.0,149.0,102.0,91.0,5.0
645,3.0,275.0,231.0,157.0,101.0,57.0,10.0,6.0,182.0,205.0,151.0,104.0,92.0,5.0
646,3.0,275.0,232.0,158.0,102.0,58.0,10.0,5.0,184.0,206.0,152.0,105.0,93.0,5.0
647,3.0,276.0,234.0,159.0,103.0,59.0,11.0,5.0,185.0,208.0,154.0,106.0,94.0,5.0
648,3.0,276.0,235.0,160.0,104.0,59.0,11.0,5.0,187.0,210.0,155.0,107.0,95.0,5.0
649,3.0,277.0,236.0,162.0,105.0,60.0,11.0,5.0,188.0,212.0,157.0,109.0,97.0,5.0
671,3.0,290.0,261.0,190.0,131.0,74.0,15.0,5.0,218.0,251.0,193.0,141.0,127.0,7.0
