Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,[293.0],[3282.0],[3632.0],[3576.0],[3307.0],[2932.0],[17.0],[309.0],[3762.0],[3800.0],[3657.0],[3389.0],[3104.0],[21.0]
601,[2.0],[562.0],[604.0],[551.0],[486.0],[425.0],[1.0],[3.0],[595.0],[577.0],[534.0],[490.0],[457.0],[1.0]
605,[2.0],[524.0],[525.0],[457.0],[394.0],[352.0],[1.0],[2.0],[557.0],[485.0],[430.0],[394.0],[370.0],[1.0]
606,[2.0],[572.0],[595.0],[528.0],[456.0],[396.0],[1.0],[3.0],[608.0],[554.0],[499.0],[454.0],[421.0],[1.0]
622,[5.0],[219.0],[208.0],[172.0],[145.0],[119.0],[1.0],[5.0],[235.0],[203.0],[166.0],[144.0],[139.0],[1.0]
623,[6.0],[417.0],[385.0],[306.0],[254.0],[227.0],[1.0],[11.0],[460.0],[358.0],[288.0],[254.0],[243.0],[1.0]
624,[6.0],[322.0],[313.0],[267.0],[235.0],[198.0],[1.0],[11.0],[369.0],[317.0],[269.0],[241.0],[229.0],[1.0]
625,[8.0],[304.0],[373.0],[342.0],[303.0],[241.0],[1.0],[15.0],[361.0],[371.0],[338.0],[307.0],[282.0],[1.0]
626,[12.0],[165.0],[219.0],[212.0],[200.0],[141.0],[1.0],[10.0],[204.0],[236.0],[221.0],[200.0],[181.0],[1.0]
627,[11.0],[194.0],[231.0],[208.0],[185.0],[156.0],[1.0],[7.0],[233.0],[229.0],[203.0],[183.0],[177.0],[1.0]
628,[7.0],[158.0],[200.0],[193.0],[176.0],[137.0],[1.0],[5.0],[194.0],[226.0],[205.0],[181.0],[166.0],[1.0]
629,[8.0],[265.0],[252.0],[213.0],[183.0],[152.0],[1.0],[12.0],[281.0],[249.0],[212.0],[187.0],[179.0],[1.0]
630,[4.0],[197.0],[229.0],[213.0],[196.0],[157.0],[1.0],[7.0],[221.0],[242.0],[223.0],[204.0],[191.0],[1.0]
631,[5.0],[263.0],[273.0],[232.0],[197.0],[162.0],[1.0],[8.0],[311.0],[269.0],[224.0],[196.0],[185.0],[1.0]
632,[10.0],[361.0],[372.0],[314.0],[264.0],[218.0],[1.0],[15.0],[389.0],[350.0],[303.0],[268.0],[250.0],[1.0]
633,[5.0],[328.0],[349.0],[300.0],[255.0],[220.0],[1.0],[10.0],[384.0],[340.0],[292.0],[257.0],[240.0],[1.0]
634,[5.0],[379.0],[350.0],[269.0],[210.0],[179.0],[1.0],[10.0],[359.0],[281.0],[231.0],[201.0],[196.0],[1.0]
635,[11.0],[242.0],[246.0],[205.0],[172.0],[144.0],[1.0],[10.0],[257.0],[233.0],[196.0],[170.0],[165.0],[1.0]
636,[4.0],[156.0],[177.0],[158.0],[142.0],[112.0],[1.0],[4.0],[181.0],[177.0],[154.0],[136.0],[131.0],[1.0]
642,[3.0],[403.0],[399.0],[335.0],[287.0],[249.0],[1.0],[6.0],[469.0],[386.0],[322.0],[285.0],[269.0],[1.0]
651,[4.0],[863.0],[822.0],[771.0],[687.0],[605.0],[1.0],[4.0],[871.0],[816.0],[752.0],[692.0],[648.0],[2.0]
652,[2.0],[391.0],[429.0],[397.0],[359.0],[315.0],[1.0],[2.0],[445.0],[436.0],[399.0],[369.0],[343.0],[1.0]
653,[2.0],[589.0],[624.0],[565.0],[495.0],[435.0],[1.0],[2.0],[656.0],[602.0],[550.0],[501.0],[463.0],[1.0]
654,[2.0],[428.0],[429.0],[362.0],[308.0],[270.0],[1.0],[2.0],[460.0],[387.0],[333.0],[304.0],[288.0],[1.0]
655,[2.0],[387.0],[394.0],[346.0],[302.0],[264.0],[1.0],[2.0],[428.0],[386.0],[340.0],[308.0],[285.0],[1.0]
656,[2.0],[1134.0],[759.0],[690.0],[645.0],[609.0],[1.0],[2.0],[1254.0],[815.0],[733.0],[680.0],[640.0],[3.0]
661,[2.0],[914.0],[765.0],[692.0],[605.0],[543.0],[1.0],[4.0],[905.0],[745.0],[667.0],[610.0],[573.0],[1.0]
675,[2.0],[523.0],[502.0],[434.0],[377.0],[336.0],[1.0],[2.0],[584.0],[494.0],[420.0],[377.0],[350.0],[1.0]
