Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
0,-2.0,9.0,22.0,27.0,21.0,5.0,0.0,-0.0,7.0,12.0,20.0,20.0,16.0,7.0
1,11.0,540.0,804.0,737.0,455.0,56.0,13.0,4.0,468.0,575.0,607.0,440.0,27.0,18.0
2,29.0,1279.0,1916.0,1978.0,1477.0,866.0,159.0,15.0,1245.0,1393.0,1438.0,1374.0,782.0,54.0
3,13.0,1569.0,2327.0,2584.0,2353.0,1752.0,859.0,30.0,1974.0,2316.0,2456.0,2322.0,1896.0,809.0
4,3.0,1771.0,2542.0,2818.0,2584.0,2043.0,1079.0,12.0,2233.0,2616.0,2753.0,2632.0,2292.0,1273.0
5,-2.0,1950.0,2704.0,2953.0,2744.0,2127.0,1020.0,4.0,2431.0,2751.0,2867.0,2650.0,2308.0,1204.0
6,-5.0,2107.0,2859.0,3076.0,2903.0,2168.0,957.0,4.0,2539.0,2905.0,2929.0,2713.0,2338.0,1126.0
7,-5.0,2212.0,2960.0,3129.0,2952.0,2144.0,911.0,4.0,2567.0,3001.0,2990.0,2803.0,2333.0,1087.0
8,-2.0,2150.0,2930.0,3054.0,2865.0,2090.0,854.0,2.0,2502.0,2965.0,3023.0,2860.0,2330.0,1064.0
9,-0.0,2058.0,2851.0,2953.0,2741.0,2007.0,785.0,1.0,2430.0,2873.0,2963.0,2833.0,2301.0,1031.0
10,-3.0,1966.0,2782.0,2864.0,2621.0,1929.0,718.0,2.0,2353.0,2777.0,2867.0,2731.0,2218.0,990.0
11,-6.0,1868.0,2714.0,2785.0,2501.0,1852.0,652.0,2.0,2268.0,2680.0,2771.0,2622.0,2132.0,940.0
12,-6.0,1820.0,2641.0,2714.0,2389.0,1774.0,597.0,1.0,2183.0,2583.0,2671.0,2511.0,2044.0,911.0
13,-2.0,1765.0,2558.0,2646.0,2289.0,1690.0,544.0,0.0,2100.0,2481.0,2564.0,2402.0,1972.0,898.0
14,1.0,1706.0,2509.0,2582.0,2214.0,1621.0,493.0,-1.0,2016.0,2390.0,2480.0,2344.0,1954.0,883.0
15,1.0,1642.0,2467.0,2558.0,2192.0,1608.0,501.0,-1.0,1958.0,2338.0,2429.0,2298.0,1933.0,868.0
16,-0.0,1576.0,2417.0,2530.0,2168.0,1597.0,525.0,-1.0,1928.0,2283.0,2372.0,2250.0,1912.0,853.0
17,-0.0,1507.0,2361.0,2495.0,2144.0,1592.0,556.0,-1.0,1892.0,2227.0,2312.0,2200.0,1890.0,839.0
18,-0.0,1435.0,2300.0,2455.0,2117.0,1589.0,596.0,-1.0,1849.0,2173.0,2249.0,2145.0,1867.0,826.0
19,-1.0,1360.0,2234.0,2408.0,2083.0,1587.0,641.0,-1.0,1802.0,2119.0,2185.0,2088.0,1832.0,813.0
20,-1.0,1282.0,2164.0,2355.0,2042.0,1584.0,674.0,-1.0,1750.0,2063.0,2116.0,2031.0,1781.0,802.0
21,-1.0,1202.0,2092.0,2296.0,1997.0,1577.0,673.0,-1.0,1696.0,2004.0,2040.0,1970.0,1725.0,792.0
22,-1.0,1118.0,2017.0,2232.0,1948.0,1555.0,670.0,-1.0,1639.0,1938.0,1957.0,1903.0,1659.0,788.0
23,-1.0,1037.0,1941.0,2161.0,1896.0,1503.0,666.0,-1.0,1576.0,1866.0,1872.0,1830.0,1587.0,764.0
24,-1.0,962.0,1864.0,2083.0,1842.0,1443.0,658.0,-1.0,1509.0,1790.0,1785.0,1756.0,1518.0,731.0
25,-1.0,909.0,1788.0,2003.0,1783.0,1373.0,647.0,-1.0,1441.0,1711.0,1697.0,1679.0,1447.0,696.0
